h1_lowerBoundError,h1_upperBoundError,label
11.18214135,-30.81785865,-84124980
22.36654131,-13.63345869,-84133963
15.23405044,-26.76594956,-84111506
16.44188811,-25.55811189,-84120489
24.81235255,-11.18764745,-84129472
26.88382584,-9.116174159,-84138455
25.81821428,-0.181785725,-84147439
24.4134993,-11.5865007,-84124980
26.88178648,-9.118213519,-84133963
23.47716238,-12.52283762,-84142946
23.60064645,-2.399353548,-84151930
17.37970993,3.379709926,-84160913
5.815547555,-8.184452445,-84169896
0.740906045,-35.25909396,-84129472
21.98811222,-14.01188778,-84138455
18.08929704,-17.91070296,-84147438
17.24749981,-8.752500185,-84156422
13.56862195,-0.431378049,-84165405
9.892112887,-4.107887113,-84174388
6.430582518,-21.56941748,-84133964
12.36785881,-15.63214119,-84142947
24.25405513,-11.74594487,-84151930
21.075182,-4.924818,-84160914
4.298764454,-9.701235546,-84169897
7.591282455,-6.408717545,-84178880
10.0049005,-26.9950995,-84187863
19.13401261,-11.86598739,-84138455
4.001431247,-23.99856875,-84147438
13.69842946,-14.30157054,-84156421
9.806649107,-18.19335089,-84165405
7.81443802,-6.18556198,-84174388
8.305368591,-5.694631409,-84183371
22.37236844,-8.627631561,-84192354
14.94903334,-16.05096666,-84142947
16.68094629,-14.31905371,-84151930
24.0600062,3.060006197,-84160913
13.50674005,-14.49325995,-84169897
12.06964745,-15.93035255,-84178880
12.58718705,-15.41281295,-84187863
14.95922377,-6.04077623,-84156421
14.60156171,-6.398438291,-84165404
18.08532292,-2.914677078,-84183371
12.98247031,-15.01752969,-84192354
20.5874688,-10.4125312,-84201337
21.31317553,-9.686824469,-84210320
14.83366255,-11.16633745,-84160913
16.57830827,-9.421691728,-84169896
11.48379604,-9.516203964,-84178880
17.41673197,-3.583268031,-84187863
22.75324907,1.753249071,-84196846
13.22044832,-14.77955168,-84205829
23.12662544,2.126625436,-84223795
15.60001626,-10.39998374,-84165404
17.70617034,-8.293829655,-84174387
17.95095277,-8.049047231,-84183371
19.12135529,-1.878644712,-84192354
9.130864218,-11.86913578,-84201337
15.07702304,-12.92297696,-84273202
13.78789409,-1.212105914,-84291168
14.7086334,-11.2913666,-84169896
15.18349179,-10.81650821,-84178879
