h1_lowerBoundError,h1_upperBoundError,label
18.10956609,-23.89043391,-84124980
26.16654131,-9.833458688,-84133963
16.00878743,-25.99121257,-84111506
16.83764047,-25.16235953,-84120489
28.61235255,-7.387647451,-84129472
29.98058248,-6.019417517,-84138455
25.94558302,-0.054416976,-84147439
24.50930294,-11.49069706,-84124980
32.06505987,-3.934940128,-84133963
28.02115713,-7.978842868,-84142946
30.55732449,4.557324494,-84151930
18.95202337,4.952023368,-84160913
16.54902865,2.549028649,-84169896
24.98498024,-11.01501976,-84129472
11.76500878,-24.23499122,-84138455
29.65707754,-6.342922459,-84147438
30.36744906,4.367449063,-84156422
21.62925909,7.629259094,-84165405
14.06808275,0.068082748,-84174388
14.37589708,0.375897078,-84183371
10.30702978,-17.69297022,-84133964
15.94137783,-12.05862217,-84142947
23.2791989,-12.7208011,-84151930
24.51537049,-1.484629509,-84160914
18.14009278,4.140092782,-84169897
11.59128245,-2.408717545,-84178880
14.58753681,-22.41246319,-84187863
22.63793459,-8.362065406,-84138455
7.258419068,-20.74158093,-84147438
18.52503626,-9.474963736,-84156421
13.39158088,-14.60841912,-84165405
11.54186631,-2.458133693,-84174388
26.26671869,-4.733281306,-84192354
17.86814235,-13.13185765,-84142947
6.46817263,-24.53182737,-84151930
28.38536633,7.385366331,-84160913
13.18132959,-14.81867041,-84169897
11.24822722,-16.75177278,-84178880
12.5610166,-15.4389834,-84187863
27.72470616,-3.275293841,-84196846
5.185626784,-15.81437322,-84156421
5.306460175,-15.69353983,-84165404
21.13719487,0.137194869,-84183371
12.10960558,-15.89039442,-84192354
24.3874688,-6.612531202,-84201337
8.584121128,-22.41587887,-84210320
18.83366255,-7.166337455,-84160913
20.57830827,-5.421691728,-84169896
15.48379604,-5.516203964,-84178880
20.63226717,-0.36773283,-84187863
26.88421224,5.884212242,-84196846
13.86014348,-14.13985652,-84205829
13.14540244,-7.854597561,-84223795
16.99185417,-9.008145832,-84165404
18.88836868,-7.111631321,-84174387
21.95095277,-4.049047231,-84183371
22.76610325,1.766103248,-84192354
26.56865026,5.568650261,-84201337
1.462892092,-21.53710791,-84210320
4.727404208,-18.27259579,-84219303
5.415796874,-17.58420313,-84228286
11.5891606,-16.4108394,-84273202
19.18789409,4.187894086,-84291168
18.01364824,-9.986351762,-84309135
18.7086334,-7.291366599,-84169896
17.40183845,-8.598161548,-84178879
21.69727189,-4.302728114,-84187863
2.712032713,-20.28796729,-84223795
4.262578296,-18.7374217,-84232778
9.027473192,-18.97252681,-84277694
7.126732007,-11.87326799,-84286677
8.84719857,-6.15280143,-84295660
20.46230314,-5.537696858,-84174388
4.034561142,-18.96543886,-84201338
0.126587667,-22.87341233,-84228287
6.165062635,-16.83493737,-84237270
16.35071632,-11.64928368,-84282186
0.628053155,-18.37194684,-84291169
4.59694378,-10.40305622,-84300152
41.22326007,13.22326007,-84309136
5.730868052,-13.26913195,-84178879
3.835762206,-24.16423779,-84241761
3.987894592,-24.01210541,-84250745
1.300619656,-26.69938034,-84259728
25.61255382,-8.387446179,-84277694
19.50440091,-8.495599091,-84286677
12.85731653,-6.142683468,-84295660
1.819632682,-13.18036732,-84304643
31.33201343,3.332013428,-84313627
13.68712516,-14.31287484,-84331593
13.46533135,-14.53466865,-84340576
20.23416614,-24.76583386,-84192354
0.605903443,-27.39409656,-84246253
0.691999577,-27.30800042,-84255237
2.827359717,-25.17264028,-84264220
23.61926048,-10.38073952,-84273203
24.63192539,-1.368074607,-84282186
34.32454643,8.324546433,-84291169
45.32205802,19.32205802,-84300152
11.66192032,-16.33807968,-84318119
18.21374574,-9.786254258,-84327102
5.864268709,-22.13573129,-84336085
5.665783316,-22.33421668,-84345068
3.588130253,-24.41186975,-84354051
0.270436311,-27.72956369,-84259728
30.26578227,-0.73421773,-84268711
16.58148559,-14.41851441,-84277694
23.42350537,-2.576494634,-84286677
16.33820335,-9.661796648,-84295660
9.664111189,-27.33588881,-84313626
13.19806657,-18.80193343,-84322610
12.56047637,-24.43952363,-84331593
9.184898238,-23.81510176,-84349559
9.581501778,-23.41849822,-84358542
19.35711738,-34.64288262,-84210321
17.43822121,-13.56177879,-84273203
22.3028288,-8.697171197,-84282186
21.71044038,-9.289559616,-84291169
20.96327941,-5.036720595,-84300152
22.13008684,-3.869913157,-84309135
15.39523366,-21.60476634,-84318118
12.13212745,-24.86787255,-84327102
11.0423978,-25.9576022,-84336085
11.08281564,-21.91718436,-84354051
8.178296728,-24.82170327,-84363034
12.32285255,-20.67714745,-84372017
10.4266762,-22.5733238,-84381001
13.19237711,-19.80762289,-84389984
20.17078958,-33.82921042,-84223795
18.74168922,-26.25831078,-84259727
15.63994403,-15.36005597,-84286677
4.466453307,-23.53354669,-84295660
12.40195965,-15.59804035,-84304643
12.27907568,-15.72092432,-84313626
13.76932278,-23.23067722,-84322609
16.66776795,-20.33223205,-84331593
18.25437239,-14.74562761,-84367525
9.800129029,-23.19987097,-84385492
33.80880177,-11.19119823,-84228287
19.40323116,-21.59676884,-84237270
19.67522248,-21.32477752,-84246253
19.32030715,-21.67969285,-84255236
20.8064803,-24.1935197,-84264219
25.65817536,-10.34182464,-84282186
1.370465702,-29.6295343,-84291169
0.469767847,-22.53023215,-84363034
24.6036221,-20.3963779,-84232779
18.01337318,-26.98662682,-84241762
6.756935619,-34.24306438,-84250745
6.671595563,-34.32840444,-84259728
7.896958373,-33.10304163,-84268711
22.38512651,-13.61487349,-84286678
16.26447831,-24.73552169,-84255236
15.61183369,-20.38816631,-84273202
13.18468561,-38.81531439,-84291169
9.741463037,-15.25853696,-79080940
6.848579835,-18.15142016,-79098907
11.66318604,-13.33681396,-79085431
7.525749996,-17.47425,-79094415
9.72877733,-18.27122267,-79103398
