label,p1_lowerBoundError,p1_upperBoundError
-84124980,32.80956609,1.809566089
-84133963,28.86654131,-2.133458688
-84111506,30.70878743,-0.291212568
-84120489,31.53764047,0.53764047
-84129472,31.31235255,0.31235255
-84138455,32.68058248,1.680582483
-84147439,19.64558302,-2.354416976
-84124980,27.20930294,-3.790697061
-84133963,29.06505987,-1.934940128
-84142946,16.02115713,-14.97884287
-84151930,18.55732449,-3.442675506
-84160913,24.65202337,2.652023368
-84169896,16.54902865,-5.450971351
-84129472,27.68498024,-3.315019765
-84138455,22.56500878,-8.434991216
-84147438,23.35707754,-7.642922459
-84156422,18.36744906,-3.632550937
-84165405,4.529259094,-17.47074091
-84174388,23.06808275,-7.931917252
-84183371,23.37589708,-7.624102922
-84133964,23.30702978,-7.692970217
-84142947,25.64137783,-5.358622173
-84151930,16.9791989,-14.0208011
-84160914,21.51537049,-9.484629509
-84169897,27.14009278,-3.859907218
-84178880,20.59128245,-10.40871755
-84187863,23.58753681,-7.412463186
-84138455,10.63793459,-11.36206541
-84147438,11.25841907,-19.74158093
-84156421,27.52503626,-3.474963736
-84165405,22.39158088,-8.608419116
-84174388,20.54186631,-10.45813369
-84183371,29.15934572,-1.840654276
-84192354,23.26671869,-7.733281306
-84142947,5.868142346,-16.13185765
-84151930,17.26817263,-4.73182737
-84160913,25.38536633,-5.614633669
-84169897,27.88132959,-3.118670406
-84178880,25.94822722,-5.051772781
-84187863,27.2610166,-3.738983405
-84196846,24.72470616,-6.275293841
-84205829,24.50318855,3.503188551
-84156421,24.98562678,-6.014373216
-84165404,25.10646017,-5.893539825
-84183371,18.13719487,-12.86280513
-84192354,26.80960558,-4.190394423
-84201337,27.0874688,-3.912531202
-84210320,14.38412113,-6.615878872
-84219303,48.20477741,29.20477741
-84228287,49.45007788,30.45007788
-84160913,10.83366255,-20.16633745
-84169896,12.57830827,-18.42169173
-84178880,12.48379604,-18.51620396
-84187863,17.63226717,-13.36773283
-84196846,23.88421224,-7.115787758
-84205829,28.56014348,-2.439856523
-84223795,32.94540244,13.94540244
-84232779,38.69202748,19.69202748
-84241762,35.60923445,16.60923445
-84165404,4.991854168,-31.00814583
-84174387,10.88836868,-20.11163132
-84183371,13.95095277,-17.04904723
-84192354,19.76610325,-11.23389675
-84201337,23.56865026,-7.431349739
-84210320,10.46289209,-20.53710791
-84219303,13.72740421,-17.27259579
-84228286,20.11579687,-0.884203126
-84246253,40.88761272,21.88761272
-84264219,14.22251942,-16.77748058
-84273202,21.2891606,-4.710839397
