COD_ESTADO,COD_IMOVEL,CONDICAO_I,NOM_MUNICI,NUM_AREA,NUM_MODULO,SITUACAO,TIPO_IMOVE,area_km2,distance_fromCenter,double_area_km2_median,double_area_km2_stdDev,double_area_km2_sum,double_harvest_median,double_harvest_stdDev,double_harvest_sum,double_plant_early_median,double_plant_early_stdDev,double_plant_early_sum,double_plant_median,double_plant_stdDev,double_plant_sum,onset_median,onset_stdDev,onset_sum,single_area_km2_median,single_area_km2_stdDev,single_area_km2_sum,single_harvest_median,single_harvest_stdDev,single_harvest_sum,single_plant_early_median,single_plant_early_stdDev,single_plant_early_sum,single_plant_median,single_plant_stdDev,single_plant_sum,year
MT,MT-5107925-4EDACB98CC004C3DA7FC9B929344EF80,Aguardando analise,Sorriso,4425.301751,49.17,AT,IRU,44.42982236,0,0.242210125,1.86E-05,32.10776058,211.2028542,15.3542887,27956.7289,86.14084496,21.70673316,11020.85831,109.1771679,18.18368466,13843.50341,56,0,10231.3098,0.242193156,1.35E-05,4.707144455,212.2943336,17.19145408,4192.45263,93.38571275,19.59539573,1642.134983,111.8857128,15.17584436,2067.187924,2003
MT,MT-5107925-4EDACB98CC004C3DA7FC9B929344EF80,Aguardando analise,Sorriso,4425.301751,49.17,AT,IRU,44.42982236,0,0.242205891,1.93E-05,30.95054643,189.8850482,18.34668464,24904.3317,64.68488804,23.47177609,7943.072877,85.6671689,18.43091951,10769.94935,68,0,12423.73333,0.242214375,1.53E-05,2.334751446,188.563345,17.99733501,1841.682219,68.56334499,23.00331524,680.7057481,88.56334499,19.45075675,874.2018266,2004
MT,MT-5107925-4EDACB98CC004C3DA7FC9B929344EF80,Aguardando analise,Sorriso,4425.301751,49.17,AT,IRU,44.42982236,0,0.242210125,1.93E-05,31.12348098,184.9347122,32.83570698,25510.73771,61.06928399,31.38229512,7271.678887,80.44206512,23.90321105,10311.52202,52,0,9500.501961,0.242201641,1.83E-05,3.99218441,186.9471766,213.938597,3827.636129,53.19528182,69.72970558,557.2596584,73.25543227,71.71316102,1102.322403,2005
MT,MT-5107925-4EDACB98CC004C3DA7FC9B929344EF80,Aguardando analise,Sorriso,4425.301751,49.17,AT,IRU,44.42982236,0,0.242205891,1.81E-05,32.76825655,177.5925223,16.04974101,24463.02727,57.70639579,7.857602232,7811.944918,77.59965635,6.247469777,10587.12531,50,0,9135.098039,0.242231328,7.71E-06,3.410254999,175.0948291,2.949699859,2451.075417,55.09482911,2.949699859,761.6636527,75.09482911,2.949699859,1043.23228,2006
MT,MT-5107925-4EDACB98CC004C3DA7FC9B929344EF80,Aguardando analise,Sorriso,4425.301751,49.17,AT,IRU,44.42982236,0,0.242210125,1.92E-05,32.17213919,178.2712507,15.91059753,24311.66158,54.31861454,16.70440154,6964.402754,74.82516115,12.12391317,9855.612558,64,0,11692.92549,0.242188906,1.97E-05,2.190244168,177.6000484,4.983540245,1611.999814,53.47792966,4.594862929,495.7056965,73.47792966,3.894964699,681.7547161,2007
MT,MT-5107925-4EDACB98CC004C3DA7FC9B929344EF80,Aguardando analise,Sorriso,4425.301751,49.17,AT,IRU,44.42982236,0,0.242214375,1.98E-05,29.88892581,206.4584021,20.21411004,25908.23379,82.17381426,21.58289443,9199.716146,100.6738143,16.30437106,11984.46909,49,0,8952.396078,0.242197406,8.73E-06,5.959961121,208.901476,23.11783886,5205.598589,95.44021497,20.13757282,2105.128001,113.940215,16.00047743,2621.873099,2008
MT,MT-5107925-4EDACB98CC004C3DA7FC9B929344EF80,Aguardando analise,Sorriso,4425.301751,49.17,AT,IRU,44.42982236,0,0.242210125,1.93E-05,33.05632518,196.4071955,31.26487168,28632.94127,59.04892807,33.28231074,7660.188325,82.51078655,24.66504469,11155.64715,22,0,4019.443137,0.242214375,1.84E-05,2.819149396,188.8250628,66.86982685,2331.065187,63.87361559,24.7686867,728.4769515,85.93045561,13.23856316,995.5749907,2009
MT,MT-5107925-4EDACB98CC004C3DA7FC9B929344EF80,Aguardando analise,Sorriso,4425.301751,49.17,AT,IRU,44.42982236,0,0.242214375,1.97E-05,22.89243426,176.9107438,32.64590784,18267.04333,51.50872032,34.00411303,4807.760973,72.45915283,25.82170883,7050.974699,65,0,11875.62745,0.242205891,1.62E-05,11.91656253,193.3029678,38.96645526,10015.41204,43.76415969,42.00517845,2060.941448,63.76415969,31.00975326,3386.686546,2010
MT,MT-5107925-4EDACB98CC004C3DA7FC9B929344EF80,Aguardando analise,Sorriso,4425.301751,49.17,AT,IRU,44.42982236,0,0.242205891,1.97E-05,31.85767555,188.5081369,27.4444324,25884.77195,59.36830307,25.30078733,7781.136658,81.45375816,19.04723785,10798.40921,56,0,10231.3098,0.242210125,1.67E-05,4.010217886,190.8592986,14.66312863,3182.23965,60.19051326,12.17555064,1020.816121,80.7846961,10.53197502,1381.053376,2011
MT,MT-5107925-4EDACB98CC004C3DA7FC9B929344EF80,Aguardando analise,Sorriso,4425.301751,49.17,AT,IRU,44.42982236,0,0.242210125,1.89E-05,33.50284297,198.816368,14.01825015,27272.2423,87.15515305,21.7498555,11054.99524,105.1323021,17.37404638,13757.86975,49,1.485764983,9188.066667,0.242218609,2.52E-05,1.491255416,201.4717729,13.02007924,1229.274032,85.77554332,17.68798736,464.7210908,104.2755433,15.92922209,592.146581,2012
