system:index,Count,DOY,Year,.geo
0_0,6,62.62083333,2004,
0_1,10,68.18625,2004,
0_2,12,74.02083333,2004,
0_3,27,78.59490741,2004,
0_4,36,82.84131944,2004,
0_5,57,86.9375,2004,
0_6,147,92.67346939,2004,
0_7,174,98.53247126,2004,
0_8,130,102.4392308,2004,
0_9,1153.466667,106.5748786,2004,
0_10,2231,113.4079,2004,
0_11,1359,118.1063558,2004,
0_12,824,122.4989836,2004,
0_13,922,127.1021692,2004,
0_14,641,132.8117785,2004,
0_15,426,137.8793427,2004,
0_16,297,142.2409091,2004,
0_17,267,147.0729869,2004,
1_0,1,62.7,2005,
1_1,15,68.02,2005,
1_2,4,73.74375,2005,
1_3,9,79.16666667,2005,
1_4,5,83.315,2005,
1_5,36,86.77986111,2005,
1_6,54,91.70138889,2005,
1_7,116,97.60431034,2005,
1_8,241,102.7419087,2005,
1_9,1681,108.3534057,2005,
1_10,3346.843137,113.3895815,2005,
1_11,2142.062745,118.3636856,2005,
1_12,818.372549,122.4926067,2005,
1_13,1111.094118,126.4533761,2005,
1_14,755,131.7083775,2005,
1_15,411,137.1594282,2005,
1_16,244,142.4922131,2005,
1_17,190,147.505,2005,
2_0,2,62.34375,2006,
2_1,9,68.08333333,2006,
2_2,7,72.03035714,2006,
2_3,25,77.729,2006,
2_4,46,82.77391304,2006,
2_5,33,87.78863636,2006,
2_6,132,92.69157197,2006,
2_7,136,98.39136029,2006,
2_8,201,102.5314677,2006,
2_9,1479.294118,107.3632312,2006,
2_10,4323,113.6122976,2006,
2_11,1781,118.0209643,2006,
2_12,1148,122.4246298,2006,
2_13,1194,127.371807,2006,
2_14,712,132.7201369,2006,
2_15,562,138.0555383,2006,
2_16,298,142.7247483,2006,
2_17,228,146.7135417,2006,
3_0,3,62.06666667,2007,
3_1,12,68.1625,2007,
3_2,24,72.7640625,2007,
3_3,36,77.45798611,2007,
3_4,114,82.71041667,2007,
3_5,83.54509804,87.65843621,2007,
3_6,266.0313725,93.13492935,2007,
3_7,373,98.98401475,2007,
3_8,267,102.4229869,2007,
3_9,2407.639216,106.7874201,2007,
3_10,4653.32549,113.3702837,2007,
3_11,3252.321569,117.8850401,2007,
3_12,2161,122.4135007,2007,
3_13,1864.513725,127.1797612,2007,
3_14,915,132.2797131,2007,
3_15,650,137.7244231,2007,
3_16,242,142.5166839,2007,
3_17,192,146.5375,2007,
4_0,2,61.75,2008,
4_1,6,68.4,2008,
4_2,2,74.1,2008,
4_3,14,78.23928571,2008,
4_4,11,82.8875,2008,
4_5,20,87.174375,2008,
4_6,111,92.43457207,2008,
4_7,120,98.526875,2008,
4_8,202,102.6846535,2008,
4_9,2572.435294,106.9378168,2008,
4_10,3836.482353,113.1364604,2008,
4_11,2337,117.3775407,2008,
4_12,1483.341176,122.2494632,2008,
4_13,1125.921569,127.8183416,2008,
4_14,567,132.5400794,2008,
4_15,482.2627451,138.1710118,2008,
4_16,238,142.6456933,2008,
4_17,253,146.6003953,2008,
5_0,5,63.46,2009,
5_1,14,67.6875,2009,
5_2,9,73.94166667,2009,
5_3,17,78.82205882,2009,
5_4,4,82.29375,2009,
5_5,40,86.224375,2009,
5_6,69.8745098,91.52629925,2009,
5_7,142,97.71954225,2009,
5_8,368,102.7006793,2009,
5_9,2708,108.3110506,2009,
5_10,5154.168627,113.587925,2009,
5_11,3346.419608,118.4956158,2009,
5_12,1222.917647,122.5389522,2009,
5_13,1579,126.2717859,2009,
5_14,1306.094118,131.7697398,2009,
5_15,558.8431373,137.2525841,2009,
5_16,363,142.5026171,2009,
5_17,271,147.4690959,2009,
6_0,5,63.1275,2010,
6_1,19,67.0625,2010,
6_2,38,72.1625,2010,
6_3,63,77.43630952,2010,
6_4,147,82.81641156,2010,
6_5,105,87.58321429,2010,
6_6,289,92.71539792,2010,
