system:index,Count,DOY,Year,.geo
0_0,3,62.06666667,2004,
0_1,41,68.4,2004,
0_2,7,73.79464286,2004,
0_3,42,78.15446429,2004,
0_4,63,82.70277778,2004,
0_5,79,87.10537975,2004,
0_6,249,92.30165663,2004,
0_7,260,98.24552885,2004,
0_8,147,102.2962585,2004,
0_9,1267.25098,105.9230318,2004,
0_10,619.1215686,112.4838051,2004,
0_11,402,117.055597,2004,
0_12,266,122.1410714,2004,
0_13,340,128.0425368,2004,
0_14,104,133.0114183,2004,
0_15,151,138.0142384,2004,
0_16,42,142.4943452,2004,
0_17,52,146.4552885,2004,
1_0,5,62.32,2005,
1_1,32,68.340625,2005,
1_2,21,73.53452381,2005,
1_3,47,78.90053191,2005,
1_4,21,83.35119048,2005,
1_5,115,86.8176087,2005,
1_6,178,91.70168539,2005,
1_7,267,97.75393258,2005,
1_8,327,102.6348624,2005,
1_9,1386,108.2417388,2005,
1_10,964,113.3663382,2005,
1_11,1023.686275,118.4754793,2005,
1_12,284.6235294,122.65347,2005,
1_13,474.1254902,125.8237802,2005,
1_14,812.2509804,131.3801166,2005,
1_15,271.0941176,137.4840016,2005,
1_16,193,142.5492228,2005,
1_17,149,147.6389262,2005,
2_0,3,61.275,2006,
2_1,38,68.13125,2006,
2_2,26,72.10865385,2006,
2_3,52,77.64879808,2006,
2_4,120,82.8103125,2006,
2_5,107,87.75735981,2006,
2_6,219,92.85599315,2006,
2_7,239,98.66286611,2006,
2_8,116.8745098,102.1143295,2006,
2_9,954.2941176,106.0261457,2006,
2_10,830.827451,112.8496124,2006,
2_11,514.8117647,117.2603264,2006,
2_12,449,122.3484688,2006,
2_13,532,127.9620536,2006,
2_14,226,133.0893252,2006,
2_15,304,138.2023438,2006,
2_16,111,142.8658784,2006,
2_17,144,146.3181424,2006,
3_0,1,62.7,2007,
3_1,17,67.39411765,2007,
3_2,32,72.021875,2007,
3_3,50,77.3775,2007,
3_4,189.2039216,82.80314165,2007,
3_5,127,88.01338583,2007,
3_6,289,92.96193772,2007,
3_7,266,98.7875,2007,
3_8,97,102.3576031,2007,
3_9,885,106.0028249,2007,
3_10,561,112.7591578,2007,
3_11,345,117.2313768,2007,
3_12,275,122.2503182,2007,
3_13,315,127.8157143,2007,
3_14,108,132.6041667,2007,
3_15,157,137.9209395,2007,
3_16,29,142.975,2007,
3_17,46,146.3103261,2007,
4_0,4,68.4,2008,
4_1,3,72.2,2008,
4_2,7,77.22142857,2008,
4_3,22,82.94147727,2008,
4_4,14,87.43392857,2008,
4_5,85,92.43779412,2008,
4_6,83,98.65120482,2008,
4_7,88,102.5109375,2008,
4_8,1375,106.0612818,2008,
4_9,961.6235294,112.6497705,2008,
4_10,630,117.1067262,2008,
4_11,495,122.0639646,2008,
4_12,654.2039216,128.0753794,2008,
4_13,167,133.0156437,2008,
4_14,185,137.9952027,2008,
4_15,72,142.8958333,2008,
4_16,64,146.0625,2008,
5_0,1,62.7,2009,
5_1,12,68.24166667,2009,
5_2,7,73.48928571,2009,
5_3,19,78.7,2009,
5_4,7,83.05714286,2009,
5_5,43,86.83662791,2009,
5_6,76,91.55,2009,
5_7,98,97.56887755,2009,
5_8,149,102.6892617,2009,
5_9,1080,108.2797685,2009,
5_10,711.6235294,113.5547857,2009,
5_11,786,118.5396947,2009,
5_12,262,122.8346374,2009,
5_13,309,125.861165,2009,
5_14,601,131.2770383,2009,
5_15,204,137.4123775,2009,
5_16,118,142.3832627,2009,
5_17,92,147.5133152,2009,
6_0,2,63.4125,2010,
6_1,48,67.28671875,2010,
6_2,77,71.74659091,2010,
6_3,108,77.02256944,2010,
6_4,344,82.71627907,2010,
6_5,190,87.94125,2010,
6_6,370,92.87148649,2010,
6_7,330,98.74818182,2010,
6_8,130,102.3606731,2010,
6_9,824.7333333,106.1993028,2010,
6_10,617.7490196,113.0234707,2010,
6_11,359,117.6319638,2010,
6_12,259,122.1795367,2010,
6_13,370.6235294,127.4034874,2010,
6_14,136,132.4568934,2010,
6_15,220,137.5222159,2010,
6_16,60,142.6979167,2010,
6_17,62,146.9741935,2010,
7_0,2,62.4625,2011,
7_1,25,68.343,2011,
7_2,7,73.35357143,2011,
7_3,40,77.698125,2011,
7_4,48,82.64010417,2011,
7_5,32,87.21445312,2011,
7_6,151.9843137,92.65171232,2011,
7_7,154,98.3049513,2011,
7_8,115,102.4058696,2011,
7_9,1837.733333,105.8206468,2011,
7_10,1128,112.4288785,2011,
7_11,806,117.0011632,2011,
7_12,589,121.9471774,2011,
7_13,824.2823529,128.1598155,2011,
7_14,198,133.1871212,2011,
7_15,268,138.0610541,2011,
7_16,76,143.1375,2011,
7_17,79,145.9001582,2011,
8_0,2,60.68125,2012,
8_1,10,68.4,2012,
8_2,3,72.4375,2012,
8_3,9,79.0875,2012,
8_4,25,83.0585,2012,
8_5,34,87.28125,2012,
8_6,92,92.65339674,2012,
8_7,100,98.607625,2012,
8_8,71,102.502993,2012,
8_9,1091,106.0765124,2012,
8_10,1185.203922,113.1475518,2012,
8_11,528,117.3267992,2012,
8_12,385,121.9053571,2012,
8_13,480,127.8917708,2012,
8_14,119,132.7644958,2012,
8_15,149,137.6798658,2012,
8_16,39,142.7740385,2012,
8_17,44,146.3053977,2012,
9_0,4,62.7,2013,
9_1,14,68.19642857,2013,
9_2,5,73.53,2013,
9_3,21,78.98571429,2013,
9_4,10,83.1725,2013,
9_5,39,86.79102564,2013,
9_6,91,91.51318681,2013,
9_7,87,97.51149425,2013,
9_8,150,102.6158333,2013,
9_9,787,108.2529225,2013,
9_10,975,113.601,2013,
9_11,454,118.3859031,2013,
9_12,191,122.55,2013,
9_13,297.9215686,126.3677883,2013,
9_14,361.2039216,131.608923,2013,
