system:index,Count,DOY,Year,.geo
0_0,2,184.5466968,2003,
0_1,5,188.9073777,2003,
0_2,16,193.0693712,2003,
0_3,40,198.0133177,2003,
0_4,60,202.9273436,2003,
0_5,72,207.5018307,2003,
0_6,75,212.4495317,2003,
0_7,81,217.2108111,2003,
0_8,47,222.4074888,2003,
0_9,22,227.4024071,2003,
0_10,8,232.2268367,2003,
0_11,3,236.3946378,2003,
0_12,3,241.3953147,2003,
0_13,2,246.0386718,2003,
1_0,1,164.4544909,2004,
1_1,1,165.4210793,2004,
1_2,7,172.9672451,2004,
1_3,10,177.7213829,2004,
1_4,23,182.5165724,2004,
1_5,32,187.8984531,2004,
1_6,23,192.5847376,2004,
1_7,54,197.6644026,2004,
1_8,73,202.8764298,2004,
1_9,66,207.5674536,2004,
1_10,55,212.6723359,2004,
1_11,50,217.3966841,2004,
1_12,25,222.2694757,2004,
1_13,16,227.362049,2004,
1_14,8,232.2126329,2004,
1_15,9,236.9352491,2004,
1_16,3,242.9836839,2004,
1_17,2,246.4044521,2004,
2_0,2,172.0411652,2005,
2_1,1,177.3656086,2005,
2_2,2,183.8541428,2005,
2_3,10,187.4731244,2005,
2_4,30,192.5955761,2005,
2_5,76,197.833327,2005,
2_6,85,202.3743144,2005,
2_7,100,207.6854296,2005,
2_8,75,212.3374812,2005,
2_9,61,217.2470461,2005,
2_10,27,222.5236136,2005,
2_11,19,227.6868967,2005,
2_12,10,232.2400731,2005,
2_13,3,237.7098734,2005,
2_14,3,242.8873895,2005,
2_15,2,247.601425,2005,
3_0,2,158.3760318,2006,
3_1,0,162.5,2006,
3_2,1,168.4964932,2006,
3_3,5,172.884957,2006,
3_4,15,178.0790377,2006,
3_5,44,182.5078181,2006,
3_6,67,187.5000537,2006,
3_7,77,192.4908034,2006,
3_8,46,197.198716,2006,
3_9,47,202.0083108,2006,
3_10,27,207.4483192,2006,
3_11,24,212.3126036,2006,
3_12,23,217.5057433,2006,
3_13,26,222.7214019,2006,
3_14,24,227.6332431,2006,
3_15,21,232.0900457,2006,
3_16,18,237.732285,2006,
3_17,12,243.4718864,2006,
3_18,15,247.2480527,2006,
4_0,1,154.2319897,2007,
4_1,2,156.2194796,2007,
4_2,0,162.5,2007,
4_3,0,167.5,2007,
4_4,3,173.1982845,2007,
4_5,12,178.1049916,2007,
4_6,15,183.0826572,2007,
4_7,39,187.617308,2007,
4_8,26,192.8621198,2007,
4_9,51,197.4721685,2007,
4_10,92,202.5580081,2007,
4_11,124,207.6495708,2007,
4_12,112,212.399903,2007,
4_13,62,217.0700141,2007,
4_14,7,222.0602913,2007,
4_15,10,227.114588,2007,
4_16,2,232.1396105,2007,
4_17,4,237.0962668,2007,
4_18,0,242.5,2007,
4_19,1,247.1973303,2007,
5_0,2,178.9692234,2008,
5_1,2,180.3971763,2008,
5_2,13,187.5988182,2008,
5_3,50,193.1957567,2008,
5_4,92,197.7191146,2008,
5_5,126,202.5344032,2008,
5_6,105,207.6066206,2008,
5_7,81,212.1304446,2008,
5_8,39,217.4233577,2008,
5_9,29,222.6156223,2008,
5_10,9,227.4139726,2008,
5_11,23,232.1800036,2008,
5_12,5,238.0131454,2008,
5_13,6,242.5201709,2008,
5_14,0,247.5,2008,
6_0,1,161.4435916,2009,
6_1,0,167.5,2009,
6_2,2,174.2630212,2009,
6_3,7,178.6219464,2009,
6_4,26,182.9637359,2009,
6_5,35,186.89581,2009,
6_6,53,192.6474372,2009,
6_7,61,197.2919541,2009,
6_8,76,202.6341322,2009,
6_9,99,207.2755218,2009,
6_10,89,212.5385247,2009,
6_11,69,217.3740658,2009,
6_12,20,222.5184829,2009,
6_13,23,226.783853,2009,
6_14,14,232.5534846,2009,
6_15,12,237.5489869,2009,
6_16,8,242.8811018,2009,
6_17,4,248.0369902,2009,
7_0,1,159.5237435,2010,
7_1,3,163.0195533,2010,
7_2,9,168.1672565,2010,
7_3,23,172.8132655,2010,
