bucketMean,count,year
-134.4823027,1,2003
-133,0,2003
-131,0,2003
-129,0,2003
-127,0,2003
-125,0,2003
-123,0,2003
-121,0,2003
-119,0,2003
-117,0,2003
-115,0,2003
-113,0,2003
-111,0,2003
-109,0,2003
-107,0,2003
-105,0,2003
-103,0,2003
-101,0,2003
-99,0,2003
-97,0,2003
-95,0,2003
-93,0,2003
-91,0,2003
-89,0,2003
-87,0,2003
-85,0,2003
-83,0,2003
-81.1674807,1,2003
-79,0,2003
-77,0,2003
-75,0,2003
-73,0,2003
-71,0,2003
-69,0,2003
-67,0,2003
-65,0,2003
-63,0,2003
-61,0,2003
-59,0,2003
-57,0,2003
-55,0,2003
-53.89812243,1,2003
-51,0,2003
-48.84469405,6,2003
-46.67003293,2,2003
-45.54299657,2,2003
-43,0,2003
-41,0,2003
-38.84788634,2,2003
-37,0,2003
-35,0,2003
-33,0,2003
-31.01482792,1,2003
-29,0,2003
-27,0,2003
-25,0,2003
-23,0,2003
-20.87642193,1,2003
-19,0,2003
-17,0,2003
-14.36309215,2,2003
-12.53049739,1,2003
-11,0,2003
-9,0,2003
-7,0,2003
-5,0,2003
-3,0,2003
-1,0,2003
1,0,2003
3,0,2003
5,0,2003
7,0,2003
9,0,2003
11,0,2003
13,0,2003
15,0,2003
17,0,2003
19,0,2003
21.40229092,2,2003
23,0,2003
25,0,2003
27,0,2003
29,0,2003
31,0,2003
33,0,2003
35,0,2003
37,0,2003
39.74287395,1,2003
41,0,2003
42.23347008,1,2003
45,0,2003
47.39478153,2,2003
49.07179263,3,2003
50.73197247,2,2003
52.58251966,3,2003
54.78746562,2,2003
56.81899584,5,2003
58.77064821,1,2003
61.89316994,1,2003
63.18472477,1,2003
65.15369804,2,2003
66.64395652,2,2003
68.77618382,3,2003
71.13494893,4,2003
73.63947652,4,2003
74.70423232,4,2003
77.28092059,5,2003
79.08713234,8,2003
81.20232355,10,2003
83.09585127,15,2003
84.87711532,13,2003
86.85016651,20,2003
88.87445354,22,2003
91.31396012,20,2003
93.31014333,14,2003
95.18555707,26,2003
97.07123255,32,2003
99.04250259,21,2003
100.846801,37,2003
103.0576957,27,2003
104.9363097,37,2003
106.8994631,37,2003
109.080367,34,2003
110.9712087,41,2003
113.1834148,38,2003
115.0370757,29,2003
116.998213,30,2003
118.9365936,37,2003
121.1671752,24,2003
122.9987806,30,2003
124.9711252,21,2003
127.0338423,17,2003
128.9978116,15,2003
131.1109388,10,2003
133,0,2003
134.9963102,13,2003
137.2673583,5,2003
139.1536786,3,2003
141.0582931,1,2003
142.6009822,1,2003
144.4559094,2,2003
147,0,2003
149.6951655,2,2003
151,0,2003
153,0,2003
155.7609029,1,2003
157,0,2003
159,0,2003
161,0,2003
163,0,2003
165,0,2003
167,0,2003
168.9562906,1,2003
-141.8260026,1,2004
-139,0,2004
-137,0,2004
-135,0,2004
-133,0,2004
-131,0,2004
-129,0,2004
-127,0,2004
-125,0,2004
-123,0,2004
-121,0,2004
-119,0,2004
-117,0,2004
-115,0,2004
-113,0,2004
-111,0,2004
-109,0,2004
-107,0,2004
-105,0,2004
-103,0,2004
-101,0,2004
-99,0,2004
-97,0,2004
-95,0,2004
-93,0,2004
-91,0,2004
-89,0,2004
-87,0,2004
-85,0,2004
-83,0,2004
-81,0,2004
-79,0,2004
-77,0,2004
-75,0,2004
-73,0,2004
-71,0,2004
-69,0,2004
-67,0,2004
-65,0,2004
-63,0,2004
-61,0,2004
-59,0,2004
-57.07184275,1,2004
-55,0,2004
-53,0,2004
-51,0,2004
-49,0,2004
-47.53636747,1,2004
-45,0,2004
-43.30779595,1,2004
-41,0,2004
-39,0,2004
-37,0,2004
-35,0,2004
-33.96325744,1,2004
-31,0,2004
-29.29399018,3,2004
-27,0,2004
-25,0,2004
-23,0,2004
-21,0,2004
-18.46079267,1,2004
-16.21815092,2,2004
-15,0,2004
-13,0,2004
-11.1018422,1,2004
-9,0,2004
-7,0,2004
-5,0,2004
-3,0,2004
-1,0,2004
1,0,2004
3,0,2004
5,0,2004
7,0,2004
9,0,2004
11,0,2004
12.54164557,4,2004
15,0,2004
17,0,2004
19,0,2004
21,0,2004
23,0,2004
25,0,2004
27,0,2004
29,0,2004
31,0,2004
32.60599268,2,2004
35.39199332,3,2004
37.70973201,1,2004
39,0,2004
40.33720465,1,2004
42.84359488,3,2004
45.30621264,3,2004
47.32693634,2,2004
49.20184458,4,2004
51.04667661,4,2004
53.73290452,2,2004
55.02171653,6,2004
57.31387617,4,2004
58.98328872,11,2004
60.94209161,9,2004
63.16310241,11,2004
64.80042735,14,2004
67.08253161,8,2004
69.05317295,14,2004
70.86162845,16,2004
72.96688858,39,2004
74.96102102,32,2004
76.89986714,49,2004
78.97712111,46,2004
81.00819064,43,2004
82.9280584,45,2004
84.98522397,51,2004
86.88479923,36,2004
88.95889175,32,2004
90.83307013,21,2004
92.87704515,27,2004
94.6282165,22,2004
96.96985317,22,2004
98.8314375,15,2004
100.8488159,14,2004
103.1525496,16,2004
105.0256559,17,2004
107.1786964,14,2004
109.2294237,8,2004
110.9395526,12,2004
112.975848,8,2004
114.7888203,16,2004
116.943761,11,2004
118.7470058,10,2004
120.900211,12,2004
123.1617785,5,2004
124.858179,7,2004
126.8809272,3,2004
128.7073257,2,2004
130.8547106,3,2004
133.2868085,6,2004
135,0,2004
137.334818,1,2004
139,0,2004
141.6683963,1,2004
143,0,2004
144.8394054,3,2004
147.3715007,1,2004
149,0,2004
151,0,2004
152.3060322,1,2004
155,0,2004
157.600671,1,2004
159,0,2004
161,0,2004
163,0,2004
165,0,2004
167,0,2004
169,0,2004
171,0,2004
173,0,2004
175,0,2004
177,0,2004
179,0,2004
181,0,2004
183,0,2004
184.2770863,1,2004
187,0,2004
189,0,2004
191,0,2004
193,0,2004
195,0,2004
197,0,2004
199,0,2004
201,0,2004
203,0,2004
205,0,2004
207,0,2004
209,0,2004
211,0,2004
213,0,2004
215,0,2004
217,0,2004
219,0,2004
221,0,2004
223,0,2004
225,0,2004
227,0,2004
229,0,2004
231,0,2004
233.7361034,1,2004
-44.18189817,2,2005
-43.5,0,2005
-42.5,0,2005
-41.5,0,2005
-40.5,0,2005
-39.5,0,2005
-38.5,0,2005
-37.5,0,2005
-36.5,0,2005
-35.5,0,2005
-34.5,0,2005
-33.5,0,2005
-32.5,0,2005
-31.5,0,2005
-30.5,0,2005
-29.5,0,2005
-28.5,0,2005
-27.5,0,2005
