system:index,Count,DOY,Year,.geo
0_0,2,21.40229092,2003,
0_1,0,22.5,2003,
0_2,0,23.5,2003,
0_3,0,24.5,2003,
0_4,0,25.5,2003,
0_5,0,26.5,2003,
0_6,0,27.5,2003,
0_7,0,28.5,2003,
0_8,0,29.5,2003,
0_9,0,30.5,2003,
0_10,0,31.5,2003,
0_11,0,32.5,2003,
0_12,0,33.5,2003,
0_13,0,34.5,2003,
0_14,0,35.5,2003,
0_15,0,36.5,2003,
0_16,0,37.5,2003,
0_17,0,38.5,2003,
0_18,1,39.74287395,2003,
0_19,0,40.5,2003,
0_20,0,41.5,2003,
0_21,1,42.23347008,2003,
0_22,0,43.5,2003,
0_23,0,44.5,2003,
0_24,0,45.5,2003,
0_25,0,46.5,2003,
0_26,2,47.39478153,2003,
0_27,0,48.5,2003,
0_28,2,49.27524928,2003,
0_29,2,50.73197247,2003,
0_30,0,51.5,2003,
0_31,2,52.64792766,2003,
0_32,0,53.5,2003,
0_33,1,54.37311,2003,
0_34,1,55.20182124,2003,
0_35,2,56.73306574,2003,
0_36,1,57.66273737,2003,
0_37,1,58.77064821,2003,
0_38,0,59.5,2003,
0_39,0,60.5,2003,
0_40,0,61.5,2003,
0_41,0,62.5,2003,
0_42,1,63.18472477,2003,
0_43,0,64.5,2003,
0_44,0,65.5,2003,
0_45,1,66.0011364,2003,
0_46,0,67.5,2003,
0_47,2,68.51440485,2003,
0_48,0,69.5,2003,
0_49,1,70.00823167,2003,
0_50,2,71.38591403,2003,
0_51,0,72.5,2003,
0_52,3,73.52149244,2003,
0_53,3,74.49692981,2003,
0_54,1,75.32613983,2003,
0_55,2,76.79027035,2003,
0_56,3,77.60802075,2003,
0_57,3,78.44019189,2003,
0_58,4,79.4481474,2003,
0_59,3,80.55153404,2003,
0_60,6,81.55268549,2003,
0_61,4,82.3322001,2003,
0_62,5,83.5327379,2003,
0_63,5,84.42666935,2003,
0_64,4,85.41913955,2003,
0_65,7,86.38956164,2003,
0_66,7,87.42615008,2003,
0_67,10,88.55405338,2003,
0_68,8,89.4822563,2003,
0_69,4,90.59320389,2003,
0_70,14,91.43504904,2003,
0_71,3,92.5833366,2003,
0_72,9,93.48832491,2003,
0_73,6,94.72532338,2003,
0_74,17,95.41534584,2003,
0_75,11,96.33479432,2003,
0_76,16,97.60648329,2003,
0_77,11,98.60734602,2003,
0_78,7,99.58529522,2003,
0_79,19,100.4151834,2003,
0_80,12,101.4284666,2003,
0_81,14,102.5130596,2003,
0_82,13,103.6442269,2003,
0_83,19,104.4538376,2003,
0_84,18,105.4455859,2003,
0_85,16,106.4139305,2003,
0_86,15,107.5265858,2003,
0_87,11,108.4308221,2003,
0_88,15,109.4183081,2003,
0_89,17,110.5180964,2003,
0_90,20,111.3831222,2003,
0_91,11,112.4909993,2003,
0_92,22,113.5307474,2003,
0_93,10,114.6075797,2003,
0_94,17,115.3556123,2003,
0_95,16,116.5272081,2003,
0_96,12,117.5810636,2003,
0_97,22,118.4667828,2003,
0_98,10,119.5475761,2003,
0_99,8,120.6542024,2003,
0_100,15,121.4436406,2003,
0_101,14,122.6537286,2003,
0_102,13,123.4215416,2003,
0_103,11,124.5849484,2003,
0_104,6,125.5208748,2003,
0_105,6,126.3986753,2003,
0_106,9,127.441247,2003,
0_107,6,128.6213664,2003,
0_108,6,129.427846,2003,
0_109,5,130.6341611,2003,
0_110,5,131.5877166,2003,
0_111,0,132.5,2003,
0_112,0,133.5,2003,
0_113,5,134.5415335,2003,
0_114,6,135.6713247,2003,
0_115,1,136.3623111,2003,
0_116,4,137.4936201,2003,
0_117,2,138.7609132,2003,
0_118,1,139.9392094,2003,
0_119,0,140.5,2003,
0_120,1,141.0582931,2003,
0_121,0,142.5,2003,
0_122,0,143.5,2003,
0_123,1,144.0809068,2003,
0_124,0,145.5,2003,
0_125,0,146.5,2003,
0_126,0,147.5,2003,
0_127,0,148.5,2003,
0_128,2,149.6951655,2003,
0_129,0,150.5,2003,
0_130,0,151.5,2003,
0_131,0,152.5,2003,
0_132,0,153.5,2003,
0_133,0,154.5,2003,
0_134,1,155.7609029,2003,
1_0,4,12.54164557,2004,
1_1,0,13.5,2004,
1_2,0,14.5,2004,
1_3,0,15.5,2004,
1_4,0,16.5,2004,
1_5,0,17.5,2004,
1_6,0,18.5,2004,
1_7,0,19.5,2004,
1_8,0,20.5,2004,
1_9,0,21.5,2004,
1_10,0,22.5,2004,
1_11,0,23.5,2004,
1_12,0,24.5,2004,
1_13,0,25.5,2004,
1_14,0,26.5,2004,
1_15,0,27.5,2004,
1_16,0,28.5,2004,
1_17,0,29.5,2004,
1_18,0,30.5,2004,
