system:index,bucketMean,count,year,.geo
0_0,21.40229092,2,2003,
0_1,22.5,0,2003,
0_2,23.5,0,2003,
0_3,24.5,0,2003,
0_4,25.5,0,2003,
0_5,26.5,0,2003,
0_6,27.5,0,2003,
0_7,28.5,0,2003,
0_8,29.5,0,2003,
0_9,30.5,0,2003,
0_10,31.5,0,2003,
0_11,32.5,0,2003,
0_12,33.5,0,2003,
0_13,34.5,0,2003,
0_14,35.5,0,2003,
0_15,36.5,0,2003,
0_16,37.5,0,2003,
0_17,38.5,0,2003,
0_18,39.74287395,1,2003,
0_19,40.5,0,2003,
0_20,41.5,0,2003,
0_21,42.23347008,1,2003,
0_22,43.5,0,2003,
0_23,44.5,0,2003,
0_24,45.5,0,2003,
0_25,46.5,0,2003,
0_26,47.39478153,2,2003,
0_27,48.66487932,1,2003,
0_28,49.27524928,2,2003,
0_29,50.73197247,2,2003,
0_30,51.5,0,2003,
0_31,52.58251966,3,2003,
0_32,53.5,0,2003,
0_33,54.37311,1,2003,
0_34,55.20182124,1,2003,
0_35,56.60806045,4,2003,
0_36,57.66273737,1,2003,
0_37,58.77064821,1,2003,
0_38,59.5,0,2003,
0_39,60.5,0,2003,
0_40,61.89316994,1,2003,
0_41,62.5,0,2003,
0_42,63.18472477,1,2003,
0_43,64.5,0,2003,
0_44,65.15369804,2,2003,
0_45,66.0011364,1,2003,
0_46,67.28677665,1,2003,
0_47,68.51440485,2,2003,
0_48,69.29974176,1,2003,
0_49,70.00823167,1,2003,
0_50,71.51052135,3,2003,
0_51,72.5,0,2003,
0_52,73.63947652,4,2003,
0_53,74.49692981,3,2003,
0_54,75.32613983,1,2003,
0_55,76.79027035,2,2003,
0_56,77.60802075,3,2003,
0_57,78.44019189,3,2003,
0_58,79.47529661,5,2003,
0_59,80.55153404,3,2003,
0_60,81.48123334,7,2003,
0_61,82.5257137,7,2003,
0_62,83.59472165,8,2003,
0_63,84.36075749,6,2003,
0_64,85.31970774,7,2003,
0_65,86.5400215,13,2003,
0_66,87.42615008,7,2003,
0_67,88.4629911,13,2003,
0_68,89.46878817,9,2003,
0_69,90.59320389,4,2003,
0_70,91.49414917,16,2003,
0_71,92.5833366,3,2003,
0_72,93.50836335,11,2003,
0_73,94.60289262,8,2003,
0_74,95.44451905,18,2003,
0_75,96.35115545,13,2003,
0_76,97.56391688,19,2003,
0_77,98.59681652,12,2003,
0_78,99.63675068,9,2003,
0_79,100.4694601,23,2003,
0_80,101.4667183,14,2003,
0_81,102.5130596,14,2003,
0_82,103.6442269,13,2003,
0_83,104.4538376,19,2003,
0_84,105.4455859,18,2003,
0_85,106.4233036,21,2003,
0_86,107.5244224,16,2003,
0_87,108.4423573,13,2003,
0_88,109.4753254,21,2003,
0_89,110.5068217,19,2003,
0_90,111.3722701,22,2003,
0_91,112.4673483,13,2003,
0_92,113.5557694,25,2003,
0_93,114.5858156,12,2003,
0_94,115.3556123,17,2003,
0_95,116.5272081,16,2003,
0_96,117.5365043,14,2003,
0_97,118.4667828,22,2003,
0_98,119.6256493,15,2003,
0_99,120.6542024,8,2003,
0_100,121.4236616,16,2003,
0_101,122.6343133,16,2003,
0_102,123.4153146,14,2003,
0_103,124.5384552,12,2003,
0_104,125.5480184,9,2003,
0_105,126.3986753,6,2003,
0_106,127.380297,11,2003,
0_107,128.5570928,7,2003,
0_108,129.3834406,8,2003,
0_109,130.6341611,5,2003,
0_110,131.5877166,5,2003,
0_111,132.5,0,2003,
0_112,133.5,0,2003,
0_113,134.4177264,7,2003,
0_114,135.6713247,6,2003,
0_115,136.3623111,1,2003,
0_116,137.4936201,4,2003,
0_117,138.7609132,2,2003,
0_118,139.9392094,1,2003,
