Count,DOY,Year
2,21.40229092,2003
0,22.5,2003
0,23.5,2003
0,24.5,2003
0,25.5,2003
0,26.5,2003
0,27.5,2003
0,28.5,2003
0,29.5,2003
0,30.5,2003
0,31.5,2003
0,32.5,2003
0,33.5,2003
0,34.5,2003
0,35.5,2003
0,36.5,2003
0,37.5,2003
0,38.5,2003
1,39.74287395,2003
0,40.5,2003
0,41.5,2003
1,42.23347008,2003
0,43.5,2003
0,44.5,2003
0,45.5,2003
0,46.5,2003
2,47.39478153,2003
1,48.66487932,2003
2,49.27524928,2003
2,50.73197247,2003
0,51.5,2003
3,52.58251966,2003
0,53.5,2003
1,54.37311,2003
1,55.20182124,2003
4,56.60806045,2003
1,57.66273737,2003
1,58.77064821,2003
0,59.5,2003
0,60.5,2003
1,61.89316994,2003
0,62.5,2003
1,63.18472477,2003
0,64.5,2003
2,65.15369804,2003
1,66.0011364,2003
1,67.28677665,2003
2,68.51440485,2003
1,69.29974176,2003
1,70.00823167,2003
3,71.51052135,2003
0,72.5,2003
4,73.63947652,2003
3,74.49692981,2003
1,75.32613983,2003
2,76.79027035,2003
3,77.60802075,2003
3,78.44019189,2003
5,79.47529661,2003
3,80.55153404,2003
7,81.48123334,2003
7,82.5257137,2003
8,83.59472165,2003
6,84.36075749,2003
7,85.31970774,2003
13,86.5400215,2003
7,87.42615008,2003
13,88.4629911,2003
9,89.46878817,2003
4,90.59320389,2003
16,91.49414917,2003
3,92.5833366,2003
11,93.50836335,2003
8,94.60289262,2003
18,95.44451905,2003
13,96.35115545,2003
19,97.56391688,2003
12,98.59681652,2003
9,99.63675068,2003
23,100.4694601,2003
14,101.4667183,2003
14,102.5130596,2003
13,103.6442269,2003
19,104.4538376,2003
18,105.4455859,2003
21,106.4233036,2003
16,107.5244224,2003
13,108.4423573,2003
21,109.4753254,2003
19,110.5068217,2003
22,111.3722701,2003
13,112.4673483,2003
25,113.5557694,2003
12,114.5858156,2003
17,115.3556123,2003
16,116.5272081,2003
14,117.5365043,2003
22,118.4667828,2003
15,119.6256493,2003
8,120.6542024,2003
16,121.4236616,2003
16,122.6343133,2003
14,123.4153146,2003
12,124.5384552,2003
9,125.5480184,2003
6,126.3986753,2003
11,127.380297,2003
7,128.5570928,2003
8,129.3834406,2003
5,130.6341611,2003
5,131.5877166,2003
0,132.5,2003
0,133.5,2003
7,134.4177264,2003
6,135.6713247,2003
1,136.3623111,2003
4,137.4936201,2003
2,138.7609132,2003
1,139.9392094,2003
0,140.5,2003
1,141.0582931,2003
1,142.6009822,2003
0,143.5,2003
2,144.4559094,2003
0,145.5,2003
0,146.5,2003
0,147.5,2003
0,148.5,2003
2,149.6951655,2003
0,150.5,2003
0,151.5,2003
0,152.5,2003
0,153.5,2003
0,154.5,2003
1,155.7609029,2003
0,156.5,2003
0,157.5,2003
0,158.5,2003
0,159.5,2003
0,160.5,2003
0,161.5,2003
0,162.5,2003
0,163.5,2003
0,164.5,2003
0,165.5,2003
0,166.5,2003
0,167.5,2003
1,168.9562906,2003
4,12.54164557,2004
0,13.5,2004
0,14.5,2004
0,15.5,2004
0,16.5,2004
0,17.5,2004
0,18.5,2004
0,19.5,2004
0,20.5,2004
0,21.5,2004
0,22.5,2004
0,23.5,2004
0,24.5,2004
0,25.5,2004
0,26.5,2004
0,27.5,2004
0,28.5,2004
0,29.5,2004
0,30.5,2004
0,31.5,2004
1,32.03985612,2004
1,33.17212923,2004
1,34.99260267,2004
2,35.59168864,2004
0,36.5,2004
1,37.70973201,2004
0,38.5,2004
0,39.5,2004
1,40.33720465,2004
0,41.5,2004
2,42.76093721,2004
1,43.0089102,2004
1,44.31796269,2004
2,45.80033762,2004
0,46.5,2004
2,47.32693634,2004
1,48.64344055,2004
3,49.38797925,2004
2,50.58667603,2004
2,51.5066772,2004
0,52.5,2004
2,53.73290452,2004
3,54.50576869,2004
3,55.53766437,2004
1,56.88645259,2004
3,57.4563507,2004
7,58.69840525,2004
4,59.4818348,2004
6,60.76658013,2004
3,61.29311455,2004
4,62.3499367,2004
7,63.62776852,2004
9,64.60763854,2004
5,65.14744722,2004
2,66.59781809,2004
6,67.24410278,2004
5,68.20175163,2004
9,69.5261848,2004
11,70.54777232,2004
5,71.55211193,2004
20,72.49860487,2004
19,73.4598188,2004
17,74.55016362,2004
15,75.42665941,2004
25,76.3917242,2004
24,77.4291827,2004
23,78.40325218,2004
23,79.55099003,2004
21,80.56565273,2004
22,81.43061319,2004
25,82.45550998,2004
20,83.51874392,2004
31,84.59221678,2004
20,85.59438511,2004
16,86.27376446,2004
20,87.37362704,2004
20,88.53824782,2004
12,89.65996496,2004
12,90.38582634,2004
9,91.42939519,2004
16,92.44348871,2004
11,93.50767271,2004
19,94.47443257,2004
3,95.60218143,2004
15,96.61597356,2004
7,97.72816662,2004
10,98.49538285,2004
5,99.50354681,2004
9,100.443191,2004
5,101.5789408,2004
8,102.7489785,2004
8,103.5561207,2004
9,104.5050561,2004
8,105.6113308,2004
5,106.5454984,2004
9,107.530473,2004
1,108.0205625,2004
7,109.4021182,2004
6,110.3553048,2004
6,111.5238004,2004
5,112.5146402,2004
3,113.7445277,2004
13,114.6019052,2004
3,115.598786,2004
7,116.6675823,2004
4,117.4270737,2004
7,118.4249839,2004
3,119.4983903,2004
7,120.471363,2004
5,121.5005982,2004
2,122.3635166,2004
3,123.6939531,2004
5,124.4439,2004
2,125.8938764,2004
1,126.2871152,2004
2,127.1778333,2004
1,128.3533482,2004
1,129.0613032,2004
1,130.1919754,2004
2,131.1860783,2004
1,132.1375671,2004
5,133.5166567,2004
0,134.5,2004
0,135.5,2004
0,136.5,2004
1,137.334818,2004
0,138.5,2004
0,139.5,2004
0,140.5,2004
1,141.6683963,2004
0,142.5,2004
0,143.5,2004
2,144.4844151,2004
1,145.5493858,2004
0,146.5,2004
1,147.3715007,2004
0,148.5,2004
0,149.5,2004
0,150.5,2004
0,151.5,2004
1,152.3060322,2004
0,153.5,2004
0,154.5,2004
0,155.5,2004
0,156.5,2004
1,157.600671,2004
0,158.5,2004
0,159.5,2004
0,160.5,2004
0,161.5,2004
0,162.5,2004
0,163.5,2004
0,164.5,2004
0,165.5,2004
0,166.5,2004
0,167.5,2004
0,168.5,2004
0,169.5,2004
0,170.5,2004
0,171.5,2004
0,172.5,2004
0,173.5,2004
0,174.5,2004
0,175.5,2004
0,176.5,2004
0,177.5,2004
0,178.5,2004
0,179.5,2004
0,180.5,2004
0,181.5,2004
0,182.5,2004
0,183.5,2004
1,184.2770863,2004
2,0.710071499,2005
1,1.66039738,2005
0,2.5,2005
0,3.5,2005
0,4.5,2005
0,5.5,2005
0,6.5,2005
0,7.5,2005
0,8.5,2005
0,9.5,2005
0,10.5,2005
0,11.5,2005
0,12.5,2005
0,13.5,2005
0,14.5,2005
1,15.40286301,2005
0,16.5,2005
0,17.5,2005
1,18.21542022,2005
0,19.5,2005
0,20.5,2005
1,21.36077888,2005
0,22.5,2005
0,23.5,2005
1,24.97030756,2005
0,25.5,2005
0,26.5,2005
0,27.5,2005
0,28.5,2005
1,29.55473428,2005
0,30.5,2005
0,31.5,2005
0,32.5,2005
1,33.06881882,2005
0,34.5,2005
0,35.5,2005
0,36.5,2005
0,37.5,2005
0,38.5,2005
3,39.47993431,2005
0,40.5,2005
1,41.81730054,2005
0,42.5,2005
0,43.5,2005
0,44.5,2005
1,45.06278702,2005
1,46.13970959,2005
1,47.29503003,2005
2,48.0891106,2005
1,49.85334187,2005
1,50.63638374,2005
0,51.5,2005
0,52.5,2005
2,53.53159022,2005
1,54.1045144,2005
0,55.5,2005
2,56.73010096,2005
1,57.88808549,2005
7,58.74442015,2005
2,59.63940428,2005
0,60.5,2005
2,61.78393153,2005
0,62.5,2005
2,63.42521049,2005
1,64.72799444,2005
1,65.9851191,2005
1,66.97550003,2005
5,67.37695291,2005
3,68.28484122,2005
2,69.7559103,2005
3,70.37818706,2005
12,71.54910103,2005
2,72.38180557,2005
3,73.29747487,2005
4,74.46564553,2005
