system:index,Count,DOY,Year,.geo
0_0,1,50.82501942,2003,
0_1,2,52.64792766,2003,
0_2,4,55.76026568,2003,
0_3,1,58.77064821,2003,
0_4,0,61.5,2003,
0_5,0,64.5,2003,
0_6,2,67.35773985,2003,
0_7,3,70.92668657,2003,
0_8,5,73.89094856,2003,
0_9,5,77.28092059,2003,
0_10,7,79.54893529,2003,
0_11,13,82.5308248,2003,
0_12,12,85.35244766,2003,
0_13,20,88.42547552,2003,
0_14,20,91.49573677,2003,
0_15,27,94.59063822,2003,
0_16,33,97.5304536,2003,
0_17,35,100.6232554,2003,
0_18,38,103.5827076,2003,
0_19,41,106.3887731,2003,
0_20,39,109.6139118,2003,
0_21,47,112.4973364,2003,
0_22,33,115.5983231,2003,
0_23,40,118.4369513,2003,
0_24,34,121.6478234,2003,
0_25,26,124.3655322,2003,
0_26,21,127.4805463,2003,
0_27,15,130.5325093,2003,
0_28,4,134.4678743,2003,
0_29,9,136.140418,2003,
0_30,2,139.2797924,2003,
0_31,1,141.0582931,2003,
0_32,1,144.0809068,2003,
0_33,1,149.4995474,2003,
1_0,1,50.55971712,2004,
1_1,2,52.81270785,2004,
1_2,3,55.29054453,2004,
1_3,11,58.84057614,2004,
1_4,8,61.48139005,2004,
1_5,12,64.43571262,2004,
1_6,8,67.26870294,2004,
1_7,16,70.52421467,2004,
1_8,41,73.39627729,2004,
1_9,50,76.54901303,2004,
1_10,54,79.48961141,2004,
1_11,46,82.31844006,2004,
1_12,54,85.31994579,2004,
1_13,43,88.25759329,2004,
1_14,27,91.60005216,2004,
1_15,23,94.16291042,2004,
1_16,24,97.49419385,2004,
1_17,17,100.4537351,2004,
1_18,21,103.7108335,2004,
1_19,16,106.6730046,2004,
1_20,10,109.5809637,2004,
1_21,12,112.2590959,2004,
1_22,22,115.2949209,2004,
1_23,13,118.2834383,2004,
1_24,14,121.1092547,2004,
1_25,5,124.8282734,2004,
1_26,3,127.5696716,2004,
1_27,4,130.4063588,2004,
1_28,0,133.5,2004,
1_29,0,136.5,2004,
1_30,0,139.5,2004,
1_31,0,142.5,2004,
1_32,2,144.9026438,2004,
1_33,1,147.3715007,2004,
2_0,1,50.63638374,2005,
2_1,1,53.84837196,2005,
2_2,2,55.43818631,2005,
2_3,1,59.75640114,2005,
2_4,1,61.86186106,2005,
2_5,2,64.76103167,2005,
2_6,4,67.51231958,2005,
2_7,6,70.70955243,2005,
2_8,5,73.57815614,2005,
2_9,14,76.5940547,2005,
2_10,15,79.75758839,2005,
2_11,16,82.81464876,2005,
2_12,48,85.41046709,2005,
2_13,45,88.64290235,2005,
2_14,50,91.46631866,2005,
2_15,59,94.42732748,2005,
2_16,39,97.35972331,2005,
2_17,61,100.746077,2005,
2_18,50,103.3915452,2005,
2_19,26,106.4098871,2005,
2_20,30,109.4618587,2005,
2_21,25,112.375071,2005,
2_22,35,115.3459664,2005,
2_23,27,118.1131622,2005,
2_24,9,121.4383459,2005,
2_25,12,124.4439388,2005,
2_26,9,127.0644499,2005,
2_27,5,130.4491768,2005,
2_28,4,133.0536886,2005,
2_29,3,136.415011,2005,
2_30,0,139.5,2005,
2_31,1,143.4356083,2005,
2_32,1,144.4488869,2005,
3_0,2,50.66415756,2006,
3_1,5,52.9432361,2006,
3_2,4,55.81063264,2006,
3_3,7,58.61335693,2006,
3_4,8,61.22739608,2006,
3_5,8,65.01755191,2006,
3_6,10,67.12640456,2006,
3_7,16,70.72570062,2006,
3_8,21,73.46061696,2006,
3_9,24,76.54958375,2006,
3_10,51,79.49009414,2006,
3_11,73,82.57710451,2006,
3_12,75,85.46674836,2006,
3_13,75,88.24590343,2006,
3_14,71,91.36944706,2006,
3_15,36,94.23711501,2006,
3_16,27,97.64166879,2006,
3_17,15,100.7945999,2006,
3_18,12,103.8155231,2006,
3_19,14,106.604272,2006,
3_20,6,108.8704663,2006,
3_21,3,112.3794303,2006,
3_22,4,115.6051687,2006,
3_23,3,117.4230277,2006,
3_24,2,121.9089772,2006,
3_25,3,124.3313428,2006,
3_26,5,127.5835413,2006,
3_27,0,130.5,2006,
3_28,3,132.851406,2006,
3_29,0,136.5,2006,
3_30,0,139.5,2006,
3_31,1,143.5499581,2006,
4_0,1,50.64777069,2007,
4_1,3,52.88336404,2007,
4_2,10,55.70161598,2007,
4_3,6,58.01702113,2007,
4_4,17,61.07039672,2007,
4_5,19,64.82542971,2007,
4_6,22,67.65209195,2007,
4_7,33,70.83581758,2007,
4_8,44,73.68183968,2007,
4_9,76,76.67638407,2007,
4_10,67,79.39020829,2007,
4_11,69,82.56898345,2007,
4_12,62,85.51711741,2007,
4_13,40,88.56715927,2007,
4_14,48,91.38238504,2007,
4_15,33,94.44365905,2007,
4_16,17,97.41313734,2007,
4_17,17,100.7934072,2007,
4_18,16,102.9708065,2007,
4_19,8,106.6507412,2007,
4_20,11,109.5157529,2007,
4_21,8,112.3312544,2007,
4_22,4,116.0203752,2007,
4_23,4,118.0420166,2007,
4_24,4,120.6649601,2007,
4_25,4,123.2832791,2007,
4_26,1,127.1706868,2007,
4_27,1,131.0463931,2007,
4_28,1,132.4436727,2007,
5_0,1,53.73054383,2008,
5_1,1,54.061381,2008,
5_2,3,58.58020702,2008,
5_3,7,61.58966483,2008,
5_4,5,63.93412181,2008,
5_5,4,67.69197098,2008,
5_6,20,70.61915936,2008,
5_7,26,73.54504786,2008,
5_8,29,76.74245333,2008,
5_9,48,79.6054837,2008,
5_10,39,82.36617085,2008,
5_11,39,85.470297,2008,
5_12,38,88.61599989,2008,
5_13,53,91.52703233,2008,
5_14,51,94.2550706,2008,
5_15,39,97.40377262,2008,
5_16,53,100.4885427,2008,
5_17,46,103.2875346,2008,
