system:index,Count,DOY,Year,.geo
0_0,1,38.74990258,2004,
0_1,1,39.4254541,2004,
0_2,2,44.52231406,2004,
0_3,14,47.09829789,2004,
0_4,21,49.68558303,2004,
0_5,52,52.6556207,2004,
0_6,68,55.62832496,2004,
0_7,148,58.58538438,2004,
0_8,245,61.59106152,2004,
0_9,385,64.69192306,2004,
0_10,573,67.59100673,2004,
0_11,715,70.56766394,2004,
0_12,728,73.53873413,2004,
0_13,683,76.44563573,2004,
0_14,648,79.46978734,2004,
0_15,510,82.42096396,2004,
0_16,436,85.43183747,2004,
0_17,382,88.45693017,2004,
0_18,361,91.47227867,2004,
0_19,299,94.43692736,2004,
0_20,263,97.42770167,2004,
0_21,262,100.4839192,2004,
0_22,236,103.4239551,2004,
0_23,196,106.4735961,2004,
0_24,173,109.4715414,2004,
0_25,171,112.4752576,2004,
0_26,147,115.441534,2004,
0_27,143,118.4798073,2004,
0_28,125,121.4242269,2004,
0_29,116,124.3937543,2004,
0_30,92.46666667,127.471936,2004,
0_31,96,130.3500609,2004,
0_32,86,133.5336724,2004,
0_33,54,136.3563065,2004,
0_34,47,139.5070655,2004,
0_35,46,142.5050859,2004,
0_36,37,145.491286,2004,
0_37,29,148.5682048,2004,
1_0,1,40.12161115,2005,
1_1,3,43.22545671,2005,
1_2,7,47.17089382,2005,
1_3,9,50.15594335,2005,
1_4,25,52.80762337,2005,
1_5,74,55.66505471,2005,
1_6,110,58.49095111,2005,
1_7,182,61.56261414,2005,
1_8,261,64.57641783,2005,
1_9,327,67.52512638,2005,
1_10,441.4666667,70.50238201,2005,
1_11,511,73.54947789,2005,
1_12,616.8431373,76.53346418,2005,
1_13,827,79.58567006,2005,
1_14,1032.062745,82.53943393,2005,
1_15,1122,85.47045377,2005,
1_16,1168,88.44730234,2005,
1_17,986,91.48774967,2005,
1_18,845,94.47147157,2005,
1_19,693,97.44081424,2005,
1_20,511,100.3764003,2005,
1_21,344,103.387247,2005,
1_22,221,106.4123285,2005,
1_23,178,109.4237448,2005,
1_24,125,112.2937699,2005,
1_25,77,115.2815297,2005,
1_26,60,118.5388726,2005,
1_27,63,121.4377465,2005,
1_28,49,124.509442,2005,
1_29,35,127.6680422,2005,
1_30,43,130.2006389,2005,
1_31,29,133.6001802,2005,
1_32,39,136.5242135,2005,
1_33,24,139.3636316,2005,
1_34,32,142.4391541,2005,
1_35,30,145.2795226,2005,
1_36,14,148.2462605,2005,
2_0,1,37.20494066,2006,
2_1,0,40.5,2006,
2_2,1,42.62888639,2006,
2_3,2,46.59762371,2006,
2_4,1,50.35729103,2006,
2_5,10,52.7714535,2006,
2_6,22,55.74563698,2006,
2_7,69,58.81866724,2006,
2_8,177,61.61813453,2006,
2_9,354,64.6788381,2006,
2_10,630,67.66806926,2006,
2_11,958,70.58129034,2006,
2_12,1336,73.55697629,2006,
2_13,1452,76.49812693,2006,
2_14,1413,79.43731251,2006,
2_15,1179,82.44665361,2006,
2_16,864.372549,85.41271956,2006,
2_17,714,88.51237689,2006,
2_18,603.9215686,91.51195238,2006,
2_19,484,94.50394337,2006,
2_20,421,97.46152431,2006,
2_21,333,100.4150883,2006,
2_22,286,103.4243967,2006,
2_23,212,106.5429929,2006,
2_24,179,109.4628636,2006,
2_25,107,112.4495637,2006,
2_26,88,115.4111896,2006,
2_27,91,118.5726165,2006,
2_28,78,121.4227201,2006,
2_29,54,124.3733626,2006,
2_30,37,127.5106653,2006,
2_31,36,130.4604152,2006,
2_32,21,133.4845824,2006,
2_33,23,136.2171141,2006,
2_34,9,139.5721489,2006,
2_35,16,142.6436037,2006,
2_36,6,145.3601092,2006,
2_37,18,148.5969423,2006,
3_0,1,27.94647554,2007,
3_1,2,31.20767479,2007,
3_2,0,34.5,2007,
3_3,4,36.87054723,2007,
3_4,7,40.39167914,2007,
3_5,15,43.60924468,2007,
3_6,24,46.28971212,2007,
3_7,19,49.83988041,2007,
3_8,68,52.5156084,2007,
3_9,139,55.61088729,2007,
3_10,211,58.67934281,2007,
3_11,359,61.67377381,2007,
3_12,526,64.64858867,2007,
3_13,747,67.57250902,2007,
3_14,949.6235294,70.54600159,2007,
3_15,1176,73.51857707,2007,
3_16,1435,76.55105408,2007,
3_17,1551.635294,79.51181529,2007,
3_18,1556.062745,82.4847224,2007,
3_19,1542,85.47077215,2007,
3_20,1417.513725,88.51983138,2007,
3_21,1218,91.47202071,2007,
3_22,1045,94.44865515,2007,
3_23,875.0784314,97.42976743,2007,
3_24,676.8745098,100.4427774,2007,
3_25,467,103.3864239,2007,
3_26,375,106.3400387,2007,
3_27,265.5607843,109.5261807,2007,
3_28,160,112.3312337,2007,
3_29,133,115.2738376,2007,
3_30,96.03137255,118.5458234,2007,
3_31,58,121.6326194,2007,
3_32,79,124.5993494,2007,
3_33,56,127.3661564,2007,
3_34,55.45098039,130.5622965,2007,
3_35,31,133.0868789,2007,
3_36,27,136.7157337,2007,
3_37,30,139.142452,2007,
3_38,12,142.0503269,2007,
3_39,13.54509804,145.6212777,2007,
3_40,8,148.7624907,2007,
4_0,1,43.4555653,2008,
4_1,0,46.5,2008,
4_2,2,49.72335379,2008,
4_3,2,53.51769946,2008,
4_4,5,55.69534571,2008,
4_5,13,58.79321016,2008,
4_6,31,61.78928093,2008,
4_7,84,64.76091551,2008,
4_8,210,67.60199027,2008,
4_9,315,70.67041279,2008,
4_10,554.1686275,73.56548091,2008,
4_11,797,76.5649108,2008,
4_12,1073,79.56724557,2008,
4_13,1251.094118,82.56815232,2008,
4_14,1434.435294,85.5408323,2008,
4_15,1361,88.47197775,2008,
4_16,1143.309804,91.45332488,2008,
4_17,996.5921569,94.45169043,2008,
4_18,815,97.48329119,2008,
4_19,743,100.4512444,2008,
4_20,565,103.4560778,2008,
4_21,426,106.4494919,2008,
4_22,356.8431373,109.4703441,2008,
4_23,276,112.4901693,2008,
4_24,203,115.5291462,2008,
4_25,147,118.5306913,2008,
4_26,139,121.4451306,2008,
4_27,109,124.4092326,2008,
4_28,79,127.3906802,2008,
4_29,64,130.5074035,2008,
4_30,43,133.4868336,2008,
4_31,23,136.2940377,2008,
4_32,29,139.389205,2008,
4_33,14,142.5855457,2008,
4_34,16,145.5426429,2008,
4_35,14,148.5201393,2008,
5_0,2,47.67692265,2009,
5_1,2,49.41235739,2009,
5_2,8,52.43742824,2009,
5_3,37,55.84572884,2009,
5_4,83,58.61558895,2009,
5_5,194,61.65854747,2009,
5_6,371.0941176,64.64096001,2009,
5_7,758.0313725,67.63442061,2009,
5_8,1176.623529,70.6047608,2009,
5_9,1514.498039,73.53986143,2009,
5_10,1649.062745,76.5263636,2009,
5_11,1612.513725,79.49065822,2009,
5_12,1439.341176,82.44537031,2009,
5_13,1296.498039,85.51394387,2009,
5_14,1117,88.42020247,2009,
5_15,1108.905882,91.49955144,2009,
5_16,957.8745098,94.46379413,2009,
5_17,822,97.4950005,2009,
5_18,731,100.5150018,2009,
5_19,617.8745098,103.4588194,2009,
5_20,454,106.3915895,2009,
5_21,322,109.3274653,2009,
5_22,228,112.5151562,2009,
5_23,145,115.5433315,2009,
5_24,120,118.3473809,2009,
5_25,97,121.4806997,2009,
5_26,81,124.4408576,2009,
5_27,45,127.6307212,2009,
5_28,32,130.6211233,2009,
5_29,32,133.374359,2009,
5_30,32,136.3348923,2009,
5_31,14,139.4396775,2009,
5_32,19,142.5655108,2009,
5_33,15,145.546766,2009,
5_34,9,148.7806808,2009,
6_0,1,19.76555051,2010,
6_1,0,22.5,2010,
6_2,0,25.5,2010,
6_3,1,27.05791754,2010,
6_4,2,32.53570655,2010,
6_5,11,34.82895735,2010,
6_6,24,37.56833787,2010,
6_7,50,40.39522491,2010,
6_8,124,43.69318253,2010,
6_9,226,46.63690563,2010,
6_10,401,49.66518117,2010,
6_11,615,52.63044583,2010,
6_12,840,55.61327681,2010,
6_13,1217,58.58863137,2010,
6_14,1432,61.49768941,2010,
6_15,1571,64.52407968,2010,
6_16,1584.623529,67.52676696,2010,
6_17,1547,70.48537757,2010,
6_18,1472,73.47527653,2010,
6_19,1419.839216,76.52603515,2010,
6_20,1210,79.51277874,2010,
6_21,1014,82.45516068,2010,
6_22,928.0470588,85.50678601,2010,
6_23,770.5137255,88.50603223,2010,
6_24,594,91.43099548,2010,
6_25,484,94.44921004,2010,
6_26,391.3411765,97.462237,2010,
6_27,313,100.402784,2010,
6_28,217.5921569,103.4286428,2010,
6_29,159,106.3788476,2010,
6_30,123,109.4258744,2010,
6_31,110,112.4547679,2010,
6_32,79,115.3064578,2010,
6_33,58,118.4575537,2010,
6_34,37,121.4328271,2010,
6_35,31,124.6853269,2010,
6_36,18,127.5713173,2010,
6_37,15,130.5158485,2010,
6_38,10,133.142801,2010,
6_39,4,136.6332258,2010,
6_40,7,139.9864294,2010,
6_41,1,142.5825733,2010,
6_42,4,146.2416232,2010,
6_43,1,149.6394004,2010,
7_0,3,49.62358229,2011,
7_1,6,53.09063536,2011,
7_2,11,55.51563395,2011,
7_3,13,58.99075315,2011,
7_4,47,61.76310209,2011,
7_5,100,64.65977891,2011,
7_6,187.8588235,67.66698608,2011,
7_7,381,70.59068608,2011,
7_8,649.9215686,73.6498889,2011,
7_9,972.4196078,76.63268719,2011,
7_10,1442.545098,79.6014312,2011,
7_11,1806.592157,82.50581065,2011,
7_12,1873,85.4974075,2011,
7_13,1824.513725,88.48951569,2011,
7_14,1781.462745,91.45623574,2011,
7_15,1666,94.48907356,2011,
7_16,1491.094118,97.43478724,2011,
7_17,1183,100.4441875,2011,
7_18,903,103.4208928,2011,
7_19,584.4039216,106.3364539,2011,
7_20,337,109.3756333,2011,
7_21,200.9843137,112.3326086,2011,
7_22,182,115.3989684,2011,
7_23,116,118.3149752,2011,
7_24,66,121.4909382,2011,
7_25,64,124.5111765,2011,
7_26,38,127.2534263,2011,
7_27,25,130.4102499,2011,
7_28,28,133.4403317,2011,
7_29,17,136.53483,2011,
