system:index,Count,DOY,Year,.geo
0_0,1,54.70925156,2004,
0_1,1.874509804,59.70931764,2004,
0_2,5,61.66703653,2004,
0_3,7,64.74191588,2004,
0_4,10,67.92315445,2004,
0_5,6,70.6634347,2004,
0_6,6.015686275,73.66829278,2004,
0_7,3,76.68567969,2004,
0_8,2.282352941,80.58345963,2004,
0_9,5.811764706,82.25505527,2004,
0_10,0,85.5,2004,
0_11,1,87.51598752,2004,
0_12,1,91.95859801,2004,
0_13,0,94.5,2004,
0_14,1,96.09869381,2004,
1_0,1,54.70925156,2005,
1_1,1.874509804,59.70931764,2005,
1_2,5,61.66703653,2005,
1_3,8,64.78817864,2005,
1_4,8.51372549,68.13371817,2005,
1_5,6,70.22713291,2005,
1_6,5.984313725,73.56518655,2005,
1_7,3,76.68567969,2005,
1_8,1.282352941,80.50154335,2005,
1_9,3.811764706,82.63575448,2005,
1_10,0,85.5,2005,
1_11,0,88.5,2005,
1_12,1,91.95859801,2005,
1_13,0,94.5,2005,
1_14,1,96.09869381,2005,
1_15,0.094117647,101.4656095,2005,
2_0,1,54.70925156,2006,
2_1,1.874509804,59.70931764,2006,
2_2,5,61.66703653,2006,
2_3,8,64.78817864,2006,
2_4,9,67.99181562,2006,
2_5,6,70.51512745,2006,
2_6,5.984313725,73.56518655,2006,
2_7,4,76.96552204,2006,
2_8,2.282352941,79.65212926,2006,
2_9,2.811764706,83.0085388,2006,
2_10,0,85.5,2006,
2_11,0,88.5,2006,
2_12,2,91.99953478,2006,
2_13,0,94.5,2006,
2_14,1,96.09869381,2006,
2_15,0.094117647,101.4656095,2006,
3_0,1,54.70925156,2007,
3_1,1.874509804,59.70931764,2007,
3_2,5,61.66703653,2007,
3_3,7,64.74191588,2007,
3_4,8,68.08201308,2007,
3_5,5,70.2977024,2007,
3_6,4.984313725,73.77570975,2007,
3_7,4,76.96552204,2007,
3_8,3.282352941,79.96787104,2007,
3_9,2.68627451,82.97010123,2007,
3_10,0,85.5,2007,
3_11,0,88.5,2007,
3_12,2.937254902,91.82732728,2007,
3_13,0,94.5,2007,
3_14,1,96.09869381,2007,
4_0,1,54.70925156,2008,
4_1,1.874509804,59.70931764,2008,
4_2,5,61.66703653,2008,
4_3,8,64.78817864,2008,
4_4,9.51372549,68.04295644,2008,
4_5,7,70.42357859,2008,
4_6,5.984313725,73.66849545,2008,
4_7,4,76.96552204,2008,
4_8,3.282352941,79.98602496,2008,
4_9,3.811764706,82.63575448,2008,
4_10,0,85.5,2008,
4_11,0,88.5,2008,
4_12,2,91.99953478,2008,
4_13,0,94.5,2008,
4_14,1,96.09869381,2008,
5_0,1,54.70925156,2009,
5_1,1.874509804,59.70931764,2009,
5_2,5,61.66703653,2009,
5_3,8,64.78817864,2009,
5_4,8.51372549,68.13371817,2009,
5_5,5,70.2977024,2009,
5_6,5.984313725,73.96834303,2009,
5_7,4,76.676223,2009,
5_8,3.282352941,79.96787104,2009,
5_9,4.811764706,82.44711048,2009,
5_10,0,85.5,2009,
5_11,0,88.5,2009,
5_12,2.937254902,91.82732728,2009,
5_13,0,94.5,2009,
5_14,1,96.09869381,2009,
5_15,0.094117647,101.4656095,2009,
6_0,1,54.70925156,2010,
6_1,1.874509804,59.70931764,2010,
6_2,5,61.66703653,2010,
6_3,8,64.78817864,2010,
6_4,8.51372549,68.13371817,2010,
6_5,6,70.22713291,2010,
6_6,6.984313725,73.84889861,2010,
6_7,5,76.65722837,2010,
6_8,1.282352941,80.50154335,2010,
6_9,3.811764706,82.6726065,2010,
6_10,0,85.5,2010,
6_11,0,88.5,2010,
6_12,2.937254902,91.82732728,2010,
6_13,0,94.5,2010,
6_14,1,96.09869381,2010,
7_0,1,54.70925156,2011,
7_1,1.874509804,59.70931764,2011,
7_2,5,61.66703653,2011,
7_3,8,64.78817864,2011,
7_4,8,68.08201308,2011,
7_5,6,70.22713291,2011,
7_6,5.984313725,73.96834303,2011,
7_7,5,76.70048438,2011,
7_8,2.282352941,80.58345963,2011,
7_9,4.811764706,82.44711048,2011,
7_10,0,85.5,2011,
7_11,0,88.5,2011,
7_12,1,91.95859801,2011,
7_13,0,94.5,2011,
7_14,1,96.09869381,2011,
8_0,1,54.70925156,2012,
8_1,1.874509804,59.70931764,2012,
8_2,5,61.66703653,2012,
8_3,7,64.96491372,2012,
8_4,9.51372549,68.04663196,2012,
8_5,8,70.59874122,2012,
8_6,6.984313725,73.84889861,2012,
8_7,6,76.69171247,2012,
8_8,4.282352941,80.15006568,2012,
8_9,4.811764706,82.44711048,2012,
8_10,0,85.5,2012,
8_11,0,88.5,2012,
8_12,2.937254902,91.82732728,2012,
8_13,0,94.5,2012,
8_14,1,96.09869381,2012,
8_15,0.094117647,101.4656095,2012,
9_0,1,54.70925156,2013,
9_1,1.874509804,59.70931764,2013,
9_2,5,61.66703653,2013,
9_3,7,64.74191588,2013,
9_4,9.51372549,68.04663196,2013,
9_5,7,70.45538244,2013,
9_6,6.984313725,73.84889861,2013,
9_7,5,76.46904515,2013,
9_8,4.282352941,80.15006568,2013,
9_9,3.811764706,82.63575448,2013,
9_10,0,85.5,2013,
9_11,0,88.5,2013,
9_12,2.937254902,91.82732728,2013,
9_13,0,94.5,2013,
9_14,0,97.5,2013,
9_15,0.094117647,101.4656095,2013,
10_0,1,54.70925156,2014,
10_1,1.874509804,59.70931764,2014,
10_2,5,61.66703653,2014,
10_3,8,64.78817864,2014,
10_4,9,67.99570095,2014,
10_5,8,70.59874122,2014,
10_6,6.984313725,73.84889861,2014,
10_7,6,76.69171247,2014,
10_8,2.125490196,80.69306254,2014,
10_9,3.811764706,82.66778831,2014,
10_10,0,85.5,2014,
10_11,0,88.5,2014,
10_12,2,91.99953478,2014,
10_13,0,94.5,2014,
10_14,1,96.09869381,2014,
10_15,0.094117647,101.1188483,2014,
0_0,0.874509804,173.527851,2004,
0_1,5,175.6670365,2004,
0_2,4,178.9790118,2004,
0_3,6,181.8825248,2004,
0_4,7,184.939753,2004,
0_5,4.015686275,187.428006,2004,
0_6,5,190.3238995,2004,
0_7,5.125490196,194.0100848,2004,
0_8,4,197.4470447,2004,
0_9,4.156862745,199.2199279,2004,
0_10,2.68627451,203.0183665,2004,
0_11,3.125490196,206.0181224,2004,
1_0,0.874509804,173.527851,2005,
1_1,5,175.6670365,2005,
1_2,4,178.9790118,2005,
1_3,4,182.1799273,2005,
1_4,6,184.7922319,2005,
1_5,3.015686275,187.947158,2005,
1_6,4.968627451,190.5087392,2005,
1_7,4.125490196,194.4313875,2005,
1_8,3,197.4165579,2005,
1_9,4.156862745,199.2199279,2005,
1_10,3.68627451,203.1048091,2005,
1_11,3.639215686,205.9787059,2005,
1_12,0.094117647,209.7656095,2005,
2_0,0.874509804,173.527851,2006,
2_1,5,175.6670365,2006,
2_2,4,178.9790118,2006,
2_3,5,181.997989,2006,
2_4,6,184.7922319,2006,
2_5,3.015686275,187.947158,2006,
2_6,4.968627451,190.5087392,2006,
2_7,4.125490196,194.4313875,2006,
2_8,4,197.0787863,2006,
2_9,4.156862745,199.2199279,2006,
2_10,3.68627451,202.9285629,2006,
2_11,4.125490196,205.4096842,2006,
2_12,0.094117647,209.7656095,2006,
3_0,0.874509804,173.527851,2007,
3_1,5,175.6670365,2007,
3_2,4,178.9790118,2007,
3_3,4,182.1799273,2007,
3_4,6,184.7922319,2007,
3_5,2.015686275,188.6572314,2007,
3_6,3.968627451,190.3015644,2007,
3_7,4,194.4187254,2007,
3_8,5,197.1707301,2007,
3_9,4.156862745,199.2199279,2007,
3_10,3.68627451,202.7591655,2007,
3_11,3.125490196,205.3640694,2007,
3_12,0,208.5,2007,
3_13,0,211.5,2007,
3_14,0,214.5,2007,
3_15,0,217.5,2007,
3_16,0,220.5,2007,
3_17,0.937254902,222.5598552,2007,
4_0,0.874509804,173.527851,2008,
4_1,5,175.6670365,2008,
4_2,4,178.9790118,2008,
4_3,5,181.997989,2008,
4_4,6,184.7922319,2008,
4_5,2.015686275,188.6572314,2008,
4_6,5.968627451,190.4208407,2008,
4_7,4.125490196,194.4313875,2008,
4_8,4,197.0787863,2008,
4_9,5.156862745,199.4580892,2008,
4_10,4.68627451,202.8824729,2008,
4_11,5.639215686,205.6639263,2008,
5_0,0.874509804,173.527851,2009,
5_1,5,175.6670365,2009,
5_2,4,178.9790118,2009,
5_3,4,182.1799273,2009,
5_4,6,184.7922319,2009,
5_5,4.015686275,188.3564282,2009,
5_6,4.968627451,190.5087392,2009,
5_7,4.125490196,194.4313875,2009,
5_8,5,197.1707301,2009,
5_9,4.156862745,199.2199279,2009,
5_10,4.68627451,202.8824729,2009,
5_11,2.639215686,205.7151505,2009,
5_12,1.094117647,209.2238427,2009,
5_13,0,211.5,2009,
5_14,0,214.5,2009,
5_15,0,217.5,2009,
5_16,0,220.5,2009,
5_17,0.937254902,222.5598552,2009,
6_0,0.874509804,173.527851,2010,
6_1,5,175.6670365,2010,
6_2,4,178.9790118,2010,
6_3,4,182.1799273,2010,
6_4,6,184.7922319,2010,
6_5,4.015686275,188.3564282,2010,
6_6,6.968627451,190.2778014,2010,
6_7,4.125490196,194.4313875,2010,
6_8,4,197.0787863,2010,
6_9,4.156862745,199.2199279,2010,
6_10,2.68627451,203.2508242,2010,
6_11,4.639215686,205.6879979,2010,
6_12,0,208.5,2010,
6_13,0,211.5,2010,
6_14,0,214.5,2010,
6_15,0,217.5,2010,
6_16,0,220.5,2010,
6_17,0.937254902,222.5598552,2010,
7_0,0.874509804,173.527851,2011,
7_1,5,175.6670365,2011,
7_2,4,178.9790118,2011,
7_3,4,182.1799273,2011,
7_4,6,184.7922319,2011,
7_5,4.015686275,188.3564282,2011,
7_6,5.968627451,190.3632442,2011,
7_7,4.125490196,194.4313875,2011,
7_8,4,197.4470447,2011,
7_9,4.156862745,199.2199279,2011,
7_10,3.68627451,203.1048091,2011,
7_11,4.125490196,205.6816598,2011,
8_0,0.874509804,173.527851,2012,
8_1,5,175.6670365,2012,
8_2,3,179.4550046,2012,
8_3,5,182.0049826,2012,
8_4,7,184.939753,2012,
8_5,4.015686275,188.3564282,2012,
8_6,6.968627451,190.3088377,2012,
8_7,4.125490196,194.4313875,2012,
8_8,5,197.1707301,2012,
8_9,5.156862745,199.4580892,2012,
8_10,4.68627451,202.8824729,2012,
8_11,5.639215686,205.6639263,2012,
8_12,1.094117647,209.2238427,2012,
8_13,0,211.5,2012,
8_14,0,214.5,2012,
8_15,0,217.5,2012,
8_16,0,220.5,2012,
8_17,0.937254902,222.5598552,2012,
9_0,0.874509804,173.527851,2013,
9_1,5,175.6670365,2013,
9_2,4,178.9790118,2013,
9_3,5,182.0049826,2013,
9_4,7,184.939753,2013,
9_5,3.015686275,188.2746506,2013,
9_6,5.968627451,190.3356686,2013,
9_7,4.125490196,194.4313875,2013,
9_8,5,197.1707301,2013,
9_9,5.156862745,199.4580892,2013,
9_10,3.68627451,202.7591655,2013,
9_11,3.639215686,205.9787059,2013,
9_12,1.094117647,209.2238427,2013,
9_13,0,211.5,2013,
9_14,0,214.5,2013,
9_15,0,217.5,2013,
9_16,0,220.5,2013,
9_17,0.937254902,222.5598552,2013,
10_0,0.874509804,173.527851,2014,
10_1,5,175.6670365,2014,
10_2,4,178.9790118,2014,
10_3,5,182.0049826,2014,
10_4,7,184.939753,2014,
10_5,4.015686275,188.3564282,2014,
10_6,5.968627451,190.1375922,2014,
10_7,4.125490196,194.4313875,2014,
10_8,5,197.1707301,2014,
10_9,4,199.2364608,2014,
10_10,3.68627451,203.1048091,2014,
10_11,5.125490196,205.656412,2014,
10_12,1,209.1728529,2014,
10_13,0,211.5,2014,
10_14,0.094117647,215.1188483,2014,
