system:index,Count,DOY,Year,.geo
0_0,0.905882353,12.08658009,2004,
0_1,0,16.5,2004,
0_2,0,19.5,2004,
0_3,0,22.5,2004,
0_4,0,25.5,2004,
0_5,0,28.5,2004,
0_6,3.996078431,31.76643768,2004,
0_7,6.929411765,34.7770232,2004,
0_8,85.90980392,37.36490619,2004,
0_9,0.37254902,39,2004,
0_10,3.356862745,43.55373832,2004,
0_11,23.98039216,45,2004,
0_12,20.85490196,49.52801805,2004,
0_13,15.43529412,53,2004,
0_14,110.345098,55.29380198,2004,
0_15,29.11764706,57.91070707,2004,
0_16,26.25882353,60.78897849,2004,
0_17,8.419607843,65,2004,
0_18,6.529411765,66.15315315,2004,
0_19,1.729411765,69.82993197,2004,
0_20,0,73.5,2004,
0_21,0,76.5,2004,
0_22,9,79.22222222,2004,
0_23,10.23137255,81.29321579,2004,
0_24,0,85.5,2004,
0_25,0.094117647,87,2004,
1_0,1.168627451,20,2005,
1_1,8.529411765,21.28735632,2005,
1_2,1.184313725,24,2005,
1_3,0,28.5,2005,
1_4,0,31.5,2005,
1_5,0,34.5,2005,
1_6,0,37.5,2005,
1_7,0,40.5,2005,
1_8,4.874509804,44,2005,
1_9,12.37254902,46.77812995,2005,
1_10,21.62745098,48.89845875,2005,
1_11,52.20784314,51.49605649,2005,
1_12,26.49411765,55.30195382,2005,
1_13,55.30196078,58.59722025,2005,
1_14,17,61.11764706,2005,
1_15,2,63,2005,
1_16,51.42745098,67.9416654,2005,
1_17,107.9372549,69.32480744,2005,
1_18,0.015686275,72,2005,
1_19,0,76.5,2005,
1_20,0,79.5,2005,
1_21,1.325490196,81.49112426,2005,
2_0,23.42352941,34.48987109,2006,
2_1,5,38,2006,
2_2,20.07843137,39.80078125,2006,
2_3,0,43.5,2006,
2_4,0,46.5,2006,
2_5,0.843137255,50,2006,
2_6,112.745098,52.21074783,2006,
2_7,111.3490196,54.62502641,2006,
2_8,5.545098039,58.45898161,2006,
2_9,0.062745098,62,2006,
2_10,21.88627451,63.42232575,2006,
2_11,12.99607843,66.46137598,2006,
2_12,0,70.5,2006,
2_13,13.96862745,72.93065693,2006,
2_14,15,76.33333333,2006,
2_15,13.43529412,79.92556918,2006,
2_16,5.478431373,82.06513958,2006,
2_17,1.560784314,85.29145729,2006,
2_18,0.094117647,89,2006,
3_0,10.76470588,25.3715847,2007,
3_1,0,28.5,2007,
3_2,5.701960784,31.65474553,2007,
3_3,0.298039216,34,2007,
3_4,20,37.5,2007,
3_5,4,39,2007,
3_6,5.388235294,44,2007,
3_7,4.305882353,46.36976321,2007,
3_8,221.8941176,49.41192584,2007,
3_9,38.28627451,51.81870327,2007,
3_10,15.45098039,55.54898477,2007,
3_11,32.89411765,57.16046733,2007,
3_12,0.482352941,62,2007,
3_13,4,63.75,2007,
4_0,11,46.72727273,2008,
4_1,1.219607843,49,2008,
4_2,0,52.5,2008,
4_3,0,55.5,2008,
4_4,0,58.5,2008,
4_5,72.81568627,61.86158983,2008,
4_6,46.18823529,64.04313126,2008,
4_7,75.02745098,66.63365043,2008,
4_8,55.63137255,69.98653602,2008,
4_9,72.6,72.80613623,2008,
4_10,6.639215686,77,2008,
4_11,11.81960784,78.16921035,2008,
4_12,3.341176471,82,2008,
4_13,1.984313725,84,2008,
4_14,1.121568627,89,2008,
4_15,2.984313725,90.32982917,2008,
4_16,1.094117647,94.08602151,2008,
5_0,1.37254902,23,2009,
5_1,0,25.5,2009,
5_2,1,27,2009,
5_3,3.823529412,31,2009,
5_4,7.37254902,34.45744681,2009,
5_5,3,36,2009,
5_6,2.37254902,39.15702479,2009,
5_7,2.37254902,43.36859504,2009,
5_8,4.435294118,46,2009,
5_9,57.96470588,48.53419931,2009,
5_10,8.603921569,51,2009,
5_11,7,55.42857143,2009,
5_12,36,57.77777778,2009,
5_13,62.25882353,61.37440161,2009,
5_14,1,65,2009,
5_15,1.937254902,67.51619433,2009,
5_16,0.984313726,69,2009,
5_17,2.529411765,72.62945736,2009,
5_18,100.9843137,76.72168071,2009,
5_19,45.26666667,78.72546132,2009,
5_20,0,82.5,2009,
5_21,0,85.5,2009,
5_22,8,87.375,2009,
5_23,5.188235294,91.03628118,2009,
6_0,1,16,2010,
6_1,6,18.5,2010,
6_2,86.91372549,21.95181158,2010,
6_3,0,25.5,2010,
6_4,11,28.36363636,2010,
6_5,1,32,2010,
6_6,46.5254902,34.39817937,2010,
6_7,22.83921569,36.71050824,2010,
6_8,37.6,39.90613267,2010,
6_9,0,43.5,2010,
6_10,17.60392157,46.3009579,2010,
6_11,68.71372549,48.8129209,2010,
6_12,6.639215686,51.32959244,2010,
6_13,0.529411765,54,2010,
6_14,0,58.5,2010,
6_15,1,61,2010,
6_16,7,63,2010,
6_17,4,66.75,2010,
6_18,12,71,2010,
6_19,10.2,72.16839677,2010,
6_20,12.71372549,75.26958667,2010,
6_21,7.188235294,78.1391162,2010,
6_22,2,81,2010,
6_23,1,85,2010,
7_0,0.37254902,47,2011,
7_1,0.219607843,50,2011,
7_2,0,52.5,2011,
7_3,1.874509804,54.5334728,2011,
7_4,99.10196078,58.43951565,2011,
7_5,102.0784314,60.41286977,2011,
7_6,8.792156863,64.25111508,2011,
7_7,0,67.5,2011,
7_8,43.37254902,69.62540687,2011,
7_9,7.854901961,72.72940589,2011,
7_10,60.09411765,75.89415296,2011,
7_11,19.23529412,78.08521916,2011,
7_12,6.282352941,81.81086142,2011,
7_13,2.188235294,84.91397849,2011,
7_14,3,89,2011,
7_15,4,90.25,2011,
7_16,1,94,2011,
7_17,0,97.5,2011,
8_0,0.760784314,19,2012,
8_1,0,22.5,2012,
8_2,0,25.5,2012,
8_3,0,28.5,2012,
8_4,0,31.5,2012,
8_5,0,34.5,2012,
8_6,0,37.5,2012,
8_7,9.623529412,40.35411573,2012,
8_8,0,43.5,2012,
8_9,0,46.5,2012,
8_10,0,49.5,2012,
8_11,0.745098039,52,2012,
8_12,112.7215686,55.73723212,2012,
8_13,84.1254902,57.87297222,2012,
8_14,76.09803922,60.8389075,2012,
8_15,11.71764706,64.42670683,2012,
8_16,19,67.47368421,2012,
8_17,12.81960784,69.38849801,2012,
8_18,3.341176471,72.40140845,2012,
8_19,0,76.5,2012,
8_20,1,80,2012,
8_21,2.435294118,81,2012,
8_22,4,84.5,2012,
8_23,2.890196078,89,2012,
8_24,1,92,2012,
8_25,6,93.83333333,2012,
8_26,3,97,2012,
9_0,0.82745098,30,2013,
9_1,2,35,2013,
9_2,0,37.5,2013,
9_3,0,40.5,2013,
9_4,18.93333333,43.83989229,2013,
9_5,56.50588235,46.32091054,2013,
9_6,114.3843137,48.7962836,2013,
9_7,39.05098039,52.2684274,2013,
9_8,14,54.14285714,2013,
9_9,0,58.5,2013,
9_10,4,61,2013,
9_11,8,63.125,2013,
9_12,45.14117647,67.60125098,2013,
9_13,27.23529412,69.28840893,2013,
9_14,0,73.5,2013,
9_15,3.345098039,75.00468933,2013,
9_16,0.403921569,80,2013,
9_17,0,82.5,2013,
9_18,3,85.66666667,2013,
9_19,5,87.4,2013,
9_20,13.63921569,91.1066705,2013,
9_21,6,94,2013,
9_22,2,96,2013,
10_0,1.823529412,19.1655914,2014,
10_1,0,22.5,2014,
10_2,0,25.5,2014,
10_3,0,28.5,2014,
10_4,9.015686275,31.44019139,2014,
10_5,10.50588235,33.65920119,2014,
10_6,6,36,2014,
10_7,14.33333333,40.73871409,2014,
10_8,0,43.5,2014,
10_9,5.309803922,46.24667651,2014,
10_10,2,50,2014,
10_11,2,53,2014,
10_12,11.55686275,55.84390906,2014,
10_13,76.60784314,58.78878935,2014,
10_14,91.34901961,60.40911823,2014,
10_15,93.21960784,63.68390055,2014,
10_16,2.250980392,66,2014,
10_17,18.23137255,70.17724242,2014,
10_18,3,73.33333333,2014,
10_19,8.407843137,75.99253731,2014,
10_20,0,79.5,2014,
10_21,1.188235294,82,2014,
10_22,0,85.5,2014,
10_23,0,88.5,2014,
10_24,0,91.5,2014,
10_25,0,94.5,2014,
10_26,0,97.5,2014,
