system:index,Count,DOY,Year,.geo
0_0,1,47.3945605,2004,
0_1,1,48.73302429,2004,
0_2,1,51.32882919,2004,
0_3,2,55.88279416,2004,
0_4,7,58.82843624,2004,
0_5,6,61.52388304,2004,
0_6,14,64.76172548,2004,
0_7,24,67.74326209,2004,
0_8,18,70.76915055,2004,
0_9,21,73.86531925,2004,
0_10,32,76.68253066,2004,
0_11,55,79.35145391,2004,
0_12,42,82.82780981,2004,
0_13,63,85.58132235,2004,
0_14,67,88.57029662,2004,
0_15,93,91.50086736,2004,
0_16,89,94.59282292,2004,
0_17,121,97.56779878,2004,
0_18,155.6235294,100.5126928,2004,
0_19,178,103.6253241,2004,
0_20,175,106.6138335,2004,
0_21,220,109.5955416,2004,
0_22,256,112.4972165,2004,
0_23,328.4980392,115.5465759,2004,
0_24,315.2509804,118.533272,2004,
0_25,326,121.448263,2004,
0_26,317,124.4037131,2004,
0_27,297,127.4565353,2004,
0_28,244,130.4110777,2004,
0_29,192,133.341023,2004,
0_30,130,136.3540985,2004,
0_31,103,139.5794384,2004,
0_32,58,142.3850939,2004,
0_33,54,145.4526489,2004,
0_34,29,148.7519065,2004,
1_0,1,48.13988763,2005,
1_1,1,51.6397979,2005,
1_2,0,55.5,2005,
1_3,2,58.24948978,2005,
1_4,4,61.13724919,2005,
1_5,6,64.68993317,2005,
1_6,10,67.55716449,2005,
1_7,8,70.63040706,2005,
1_8,17,73.6873071,2005,
1_9,35,76.56386304,2005,
1_10,38,79.6960799,2005,
1_11,79,82.52616612,2005,
1_12,126,85.81522557,2005,
1_13,166,88.61387015,2005,
1_14,217.2509804,91.62426658,2005,
1_15,306.6235294,94.54652644,2005,
1_16,396,97.54923068,2005,
1_17,424,100.5199086,2005,
1_18,459,103.5562642,2005,
1_19,501.9058824,106.5225648,2005,
1_20,493.8745098,109.4741503,2005,
1_21,495,112.5314889,2005,
1_22,480.1254902,115.4374144,2005,
1_23,380,118.5441804,2005,
1_24,385,121.4932458,2005,
1_25,331,124.3971263,2005,
1_26,279,127.5534057,2005,
1_27,252,130.4347674,2005,
1_28,201,133.3921636,2005,
1_29,157,136.3495955,2005,
1_30,114,139.4268609,2005,
1_31,78,142.384259,2005,
1_32,58,145.3441241,2005,
1_33,22,148.4702696,2005,
2_0,1,40.8336714,2006,
2_1,0,43.5,2006,
2_2,0,46.5,2006,
2_3,2,49.57503949,2006,
2_4,1,51.6619372,2006,
2_5,0,55.5,2006,
2_6,7,58.81215576,2006,
2_7,7,61.68608423,2006,
2_8,31,64.60929172,2006,
2_9,35,67.77587124,2006,
2_10,59,70.62929601,2006,
2_11,75,73.60789359,2006,
2_12,110,76.61194153,2006,
2_13,145,79.6915493,2006,
2_14,168,82.58401484,2006,
2_15,191,85.34957537,2006,
2_16,192,88.44925452,2006,
2_17,258,91.5274084,2006,
2_18,245,94.45909731,2006,
2_19,258,97.52191427,2006,
2_20,294,100.4377113,2006,
2_21,271,103.5820709,2006,
2_22,304.8117647,106.572428,2006,
2_23,290,109.4633123,2006,
2_24,312.827451,112.5450236,2006,
2_25,281.2941176,115.5236371,2006,
2_26,264,118.4661565,2006,
2_27,237,121.4855919,2006,
2_28,210,124.4303971,2006,
2_29,186,127.3043318,2006,
2_30,152,130.6179547,2006,
2_31,123,133.4987352,2006,
2_32,78,136.1994438,2006,
2_33,45.8745098,139.4735325,2006,
2_34,43,142.3259736,2006,
2_35,27,145.6157897,2006,
2_36,23,148.505919,2006,
3_0,1,29.77918624,2007,
3_1,1,31.33854307,2007,
3_2,0,34.5,2007,
3_3,1,37.22026912,2007,
3_4,0,40.5,2007,
3_5,4,43.92302902,2007,
3_6,3,46.13972553,2007,
3_7,0,49.5,2007,
3_8,2,53.31823215,2007,
3_9,3,56.38763609,2007,
3_10,7,59.02746316,2007,
3_11,8,61.30672021,2007,
3_12,6,64.96325258,2007,
3_13,24,67.57967938,2007,
3_14,26,70.72810659,2007,
3_15,49,73.59232973,2007,
3_16,55,76.47500478,2007,
3_17,97,79.46915497,2007,
3_18,120,82.53058565,2007,
3_19,147,85.44201394,2007,
3_20,194,88.55349,2007,
3_21,194,91.54957674,2007,
3_22,219,94.57201752,2007,
3_23,231,97.43488451,2007,
3_24,254,100.4481257,2007,
3_25,243,103.5484125,2007,
3_26,231,106.4597233,2007,
