system:index,Count,DOY,Year,.geo,,,,,,,,,,,,,,,,,,,,,
0_0,1,27.5188749,2004,,,,,,,,,,,,,,,,,,,,,,
0_1,1,32.67832634,2004,,,,,,,,,,,,,,,,,,,,,,
0_2,0,34.5,2004,,,,,,,,,,,,,,,,,,,,,,
0_3,1,38.38439877,2004,,,,,,,,,,,,,,,,,,,,,,
0_4,3,40.23561427,2004,,,,,,,,,,,,,,,,,,,,,,
0_5,5,44.0911847,2004,,,,,,,,,,,,,,,,,,,,,,
0_6,7,46.74590311,2004,,,,,,,,,,,,,,,,,,,,,,
0_7,21,49.92276742,2004,,,,,,,,,,,,,,,,,,,,,,
0_8,46.23529412,52.62591537,2004,,,,,,,,,,,,,,,,,,,,,,
0_9,61,55.61716888,2004,,,,,,,,,,,,,,,,,,,,,,
0_10,91,58.59634168,2004,,,,,,,,,,,,,,,,,,,,,,
0_11,173,61.59611573,2004,,,,,,,,,,,,,,,,,,,,,,
0_12,226,64.55789466,2004,,,,,,,,,,,,,,,,,,,,,,
0_13,296,67.50499449,2004,,,,,,,,,,,,,,,,,,,,,,
0_14,362,70.51187069,2004,,,,,,,,,,,,,,,,,,,,,,
0_15,390,73.49008961,2004,,,,,,,,,,,,,,,,,,,,,,
0_16,355,76.59465965,2004,,,,,,,,,,,,,,,,,,,,,,
0_17,431,79.50242136,2004,,,,,,,,,,,,,,,,,,,,,,
0_18,391,82.46110834,2004,,,,,,,,,,,,,,,,,,,,,,
0_19,379,85.50998811,2004,,,,,,,,,,,,,,,,,,,,,,
0_20,365,88.43413706,2004,,,,,,,,,,,,,,,,,,,,,,
0_21,361.7490196,91.50921176,2004,,,,,,,,,,,,,,,,,,,,,,
0_22,349.1254902,94.50962324,2004,,,,,,,,,,,,,,,,,,,,,,
0_23,295,97.42901325,2004,,,,,,,,,,,,,,,,,,,,,,
0_24,236,100.5268376,2004,,,,,,,,,,,,,,,,,,,,,,
0_25,182,103.4351009,2004,,,,,,,,,,,,,,,,,,,,,,
0_26,112,106.4934769,2004,,,,,,,,,,,,,,,,,,,,,,
0_27,111,109.551861,2004,,,,,,,,,,,,,,,,,,,,,,
0_28,73,112.4119578,2004,,,,,,,,,,,,,,,,,,,,,,
0_29,85,115.4053883,2004,,,,,,,,,,,,,,,,,,,,,,
0_30,53,118.3625624,2004,,,,,,,,,,,,,,,,,,,,,,
0_31,42,121.3287021,2004,,,,,,,,,,,,,,,,,,,,,,
0_32,15,124.3101265,2004,,,,,,,,,,,,,,,,,,,,,,
0_33,19,127.0845425,2004,,,,,,,,,,,,,,,,,,,,,,
0_34,14,130.6958027,2004,,,,,,,,,,,,,,,,,,,,,,
0_35,14,133.0517512,2004,,,,,,,,,,,,,,,,,,,,,,
0_36,9,136.3640043,2004,,,,,,,,,,,,,,,,,,,,,,
0_37,3,140.0041353,2004,,,,,,,,,,,,,,,,,,,,,,
0_38,5,143.2456315,2004,,,,,,,,,,,,,,,,,,,,,,
0_39,3,145.5464456,2004,,,,,,,,,,,,,,,,,,,,,,
0_40,4,147.7157037,2004,,,,,,,,,,,,,,,,,,,,,,
1_0,1,26.77177439,2005,,,,,,,,,,,,,,,,,,,,,,
1_1,1,27.5188749,2005,,,,,,,,,,,,,,,,,,,,,,
1_2,2,31.93422777,2005,,,,,,,,,,,,,,,,,,,,,,
1_3,0,34.5,2005,,,,,,,,,,,,,,,,,,,,,,
1_4,1,38.40818517,2005,,,,,,,,,,,,,,,,,,,,,,
1_5,1,39.21951136,2005,,,,,,,,,,,,,,,,,,,,,,
1_6,7,43.72476922,2005,,,,,,,,,,,,,,,,,,,,,,
1_7,14,46.83614351,2005,,,,,,,,,,,,,,,,,,,,,,
1_8,23,49.72393088,2005,,,,,,,,,,,,,,,,,,,,,,
1_9,39,52.81925633,2005,,,,,,,,,,,,,,,,,,,,,,
1_10,69,55.65374842,2005,,,,,,,,,,,,,,,,,,,,,,
1_11,127,58.53333526,2005,,,,,,,,,,,,,,,,,,,,,,
1_12,201,61.64138578,2005,,,,,,,,,,,,,,,,,,,,,,
1_13,266,64.63273588,2005,,,,,,,,,,,,,,,,,,,,,,
1_14,380,67.53271819,2005,,,,,,,,,,,,,,,,,,,,,,
1_15,428,70.5477177,2005,,,,,,,,,,,,,,,,,,,,,,
1_16,493.2980392,73.55253107,2005,,,,,,,,,,,,,,,,,,,,,,
1_17,438.3882353,76.54643363,2005,,,,,,,,,,,,,,,,,,,,,,
1_18,492,79.47322775,2005,,,,,,,,,,,,,,,,,,,,,,
1_19,470.0313725,82.47605421,2005,,,,,,,,,,,,,,,,,,,,,,
1_20,446.3098039,85.43320853,2005,,,,,,,,,,,,,,,,,,,,,,
1_21,491.372549,88.41643218,2005,,,,,,,,,,,,,,,,,,,,,,
1_22,457.8745098,91.45141853,2005,,,,,,,,,,,,,,,,,,,,,,
1_23,451,94.45444638,2005,,,,,,,,,,,,,,,,,,,,,,
1_24,383,97.42270801,2005,,,,,,,,,,,,,,,,,,,,,,
1_25,319.9843137,100.4742372,2005,,,,,,,,,,,,,,,,,,,,,,
1_26,234,103.4225259,2005,,,,,,,,,,,,,,,,,,,,,,
1_27,170,106.4115813,2005,,,,,,,,,,,,,,,,,,,,,,
1_28,125.9058824,109.3228239,2005,,,,,,,,,,,,,,,,,,,,,,
1_29,97,112.4119184,2005,,,,,,,,,,,,,,,,,,,,,,
1_30,86,115.4473376,2005,,,,,,,,,,,,,,,,,,,,,,
1_31,62,118.4762609,2005,,,,,,,,,,,,,,,,,,,,,,
1_32,51,121.4561995,2005,,,,,,,,,,,,,,,,,,,,,,
1_33,22,124.4694361,2005,,,,,,,,,,,,,,,,,,,,,,
1_34,28,127.5190043,2005,,,,,,,,,,,,,,,,,,,,,,
1_35,21,130.621685,2005,,,,,,,,,,,,,,,,,,,,,,
1_36,12,132.7845002,2005,,,,,,,,,,,,,,,,,,,,,,
