system:index,Count,DOY,Year,.geo
0_0,1,65.11201795,2004,
0_1,0.51372549,68.93889664,2004,
0_2,3,70.79645701,2004,
0_3,1.968627451,73.86013381,2004,
0_4,3,77.66406041,2004,
0_5,1,80.74809277,2004,
0_6,2,83.63334413,2004,
0_7,2,84.79707022,2004,
1_0,2,66.96918333,2005,
1_1,3,71.6690606,2005,
1_2,2,74.03129673,2005,
1_3,2,77.60987482,2005,
1_4,4,79.99171486,2005,
1_5,2,82.76597287,2005,
1_6,4,86.07606211,2005,
1_7,2,89.04870455,2005,
1_8,1,91.04388935,2005,
1_9,2,94.27705569,2005,
2_0,1,63.10708626,2006,
2_1,1.51372549,67.85964366,2006,
2_2,3,71.09307153,2006,
2_3,3,73.82179161,2006,
2_4,0,76.5,2006,
2_5,3,80.46799294,2006,
2_6,4,82.28031221,2006,
2_7,3,86.35382258,2006,
2_8,0,88.5,2006,
2_9,1.937254902,91.24513599,2006,
2_10,1,95.67221878,2006,
2_11,0,97.5,2006,
2_12,0,100.5,2006,
2_13,0,103.5,2006,
2_14,1,105.5474954,2006,
2_15,1,109.8779806,2006,
3_0,2,64.1095521,2007,
3_1,2.51372549,67.6251679,2007,
3_2,3,71.10047259,2007,
3_3,4,73.49531192,2007,
3_4,2,77.03127674,2007,
3_5,2,79.53662831,2007,
3_6,3.125490196,81.85511476,2007,
3_7,2,86.37330716,2007,
3_8,1,88.27753949,2007,
3_9,1,91.04388935,2007,
3_10,1,94.66617064,2007,
3_11,0,97.5,2007,
3_12,0.094117647,101.4656095,2007,
3_13,0,103.5,2007,
3_14,1,105.5474954,2007,
3_15,1,109.8779806,2007,
4_0,1,67.30520389,2008,
4_1,1,71.82487966,2008,
4_2,3,73.61571398,2008,
4_3,2,77.03127674,2008,
4_4,3,79.66034996,2008,
4_5,2,82.76597287,2008,
4_6,1,86.61153482,2008,
4_7,1,88.27753949,2008,
4_8,1.937254902,91.24513599,2008,
4_9,0,94.5,2008,
4_10,0,97.5,2008,
4_11,0.094117647,101.4656095,2008,
4_12,0,103.5,2008,
4_13,0,106.5,2008,
4_14,1,109.8779806,2008,
5_0,1,67.30520389,2009,
5_1,3,71.10047259,2009,
5_2,3,73.01758665,2009,
5_3,1,77.80504908,2009,
5_4,3,80.53839213,2009,
5_5,0,82.5,2009,
5_6,1,86.61153482,2009,
5_7,1,88.27753949,2009,
5_8,1,91.04388935,2009,
5_9,0,94.5,2009,
5_10,0,97.5,2009,
5_11,0,100.5,2009,
5_12,0,103.5,2009,
5_13,1,105.5474954,2009,
6_0,1,63.10708626,2010,
6_1,1,67.30520389,2010,
6_2,2,71.71356616,2010,
6_3,0,73.5,2010,
6_4,1,76.64785291,2010,
6_5,4,79.99171486,2010,
6_6,3,82.46440164,2010,
6_7,2,86.12979337,2010,
6_8,0,88.5,2010,
6_9,1,91.04388935,2010,
6_10,1,95.67221878,2010,
6_11,0,97.5,2010,
6_12,0.094117647,101.4656095,2010,
6_13,0,103.5,2010,
6_14,1,105.5474954,2010,
7_0,1,63.10708626,2011,
7_1,1.51372549,67.85964366,2011,
7_2,2,71.71356616,2011,
7_3,2,73.26844356,2011,
7_4,2,77.03127674,2011,
7_5,3,79.7594514,2011,
7_6,2,82.90281611,2011,
7_7,1,86.61153482,2011,
7_8,0,88.5,2011,
7_9,2.937254902,91.29784975,2011,
7_10,1,94.66617064,2011,
7_11,0,97.5,2011,
7_12,0.094117647,101.4656095,2011,
7_13,1,104.8766825,2011,
7_14,1,105.5474954,2011,
7_15,1,109.8779806,2011,
8_0,2,77.09662104,2012,
8_1,0,79.5,2012,
8_2,0,82.5,2012,
8_3,0,85.5,2012,
8_4,0,88.5,2012,
8_5,0,91.5,2012,
8_6,1,95.67221878,2012,
8_7,0,97.5,2012,
8_8,0,100.5,2012,
8_9,0,103.5,2012,
8_10,1,105.5474954,2012,
8_11,1,109.8779806,2012,
9_0,1,65.11201795,2013,
9_1,0,67.5,2013,
9_2,2,71.59115107,2013,
9_3,0,73.5,2013,
9_4,5,76.93865085,2013,
9_5,0,79.5,2013,
9_6,3,81.95509887,2013,
9_7,1,84.80710625,2013,
9_8,0,88.5,2013,
9_9,0,91.5,2013,
9_10,2,95.16919471,2013,
9_11,1,96.09869381,2013,
9_12,0,100.5,2013,
9_13,0,103.5,2013,
9_14,1,105.5474954,2013,
9_15,1,109.8779806,2013,
10_0,0.51372549,68.93889664,2014,
10_1,0,70.5,2014,
10_2,0,73.5,2014,
10_3,2,77.09662104,2014,
10_4,2.156862745,79.61496695,2014,
10_5,3,82.51512087,2014,
10_6,0,85.5,2014,
10_7,1,88.27753949,2014,
10_8,0.937254902,91.45985522,2014,
10_9,1,94.66617064,2014,
10_10,0,97.5,2014,
10_11,0,100.5,2014,
10_12,0,103.5,2014,
10_13,0,106.5,2014,
10_14,1,109.8779806,2014,
0_0,2,188.4349277,2004,
0_1,0.968627451,191.1822993,2004,
0_2,0,193.5,2004,
0_3,3,195.9627892,2004,
0_4,3,199.3526601,2004,
0_5,2,203.0758593,2004,
0_6,3.51372549,205.3107645,2004,
1_0,2,180.9691833,2005,
1_1,1,185.8248797,2005,
1_2,2,188.0532658,2005,
1_3,2,190.7751382,2005,
1_4,1,192.4198696,2005,
1_5,6,196.5460238,2005,
1_6,2,199.8959911,2005,
1_7,5,202.5111909,2005,
1_8,3,205.2374504,2005,
2_0,1,181.3052039,2006,
2_1,2,184.9014301,2006,
2_2,2,188.0532658,2006,
2_3,1,189.9841057,2006,
2_4,1,192.5722188,2006,
2_5,5,196.525775,2006,
2_6,3,199.5315878,2006,
2_7,2,203.3274768,2006,
2_8,2.51372549,206.0279265,2006,
2_9,1,207.4017304,2006,
2_10,1,211.3070863,2006,
2_11,0,214.5,2006,
2_12,0,217.5,2006,
2_13,1,220.9724954,2006,
2_14,0.937254902,222.5598552,2006,
3_0,2,181.2877199,2007,
3_1,2,184.9014301,2007,
3_2,3,187.5408015,2007,
3_3,3,190.960405,2007,
3_4,0.125490196,194.8349905,2007,
3_5,4,196.1060794,2007,
3_6,3,199.5315878,2007,
3_7,2,203.0758593,2007,
3_8,2.51372549,206.0367592,2007,
3_9,2.094117647,208.3537329,2007,
3_10,1,211.3070863,2007,
3_11,0,214.5,2007,
3_12,0,217.5,2007,
3_13,1,220.9724954,2007,
4_0,1,181.3052039,2008,
4_1,2,184.9014301,2008,
4_2,3,187.5408015,2008,
4_3,0,190.5,2008,
4_4,0,193.5,2008,
4_5,5,196.306329,2008,
4_6,2,199.0733354,2008,
4_7,2,203.3785407,2008,
4_8,0,205.5,2008,
4_9,1.094117647,209.2238427,2008,
4_10,0,211.5,2008,
4_11,0,214.5,2008,
4_12,0,217.5,2008,
4_13,0,220.5,2008,
4_14,0.937254902,222.5598552,2008,
5_0,1,181.3052039,2009,
5_1,1,185.8248797,2009,
5_2,1,186.5158729,2009,
5_3,1,189.9841057,2009,
5_4,0,193.5,2009,
5_5,2,196.4570372,2009,
5_6,3,199.5315878,2009,
5_7,1,203.9423808,2009,
5_8,4,205.4328225,2009,
5_9,0,208.5,2009,
5_10,0,211.5,2009,
5_11,0,214.5,2009,
5_12,0,217.5,2009,
5_13,1,220.9724954,2009,
6_0,1,181.3052039,2010,
6_1,1,185.8248797,2010,
6_2,0,187.5,2010,
6_3,0,190.5,2010,
6_4,1,192.5722188,2010,
6_5,3,196.5929806,2010,
6_6,2,199.8959911,2010,
6_7,4,202.5664715,2010,
6_8,1,205.5522527,2010,
6_9,2.094117647,208.3537329,2010,
6_10,1,211.3070863,2010,
6_11,0,214.5,2010,
6_12,0,217.5,2010,
6_13,1,220.9724954,2010,
7_0,1,181.3052039,2011,
7_1,2,184.9014301,2011,
7_2,0,187.5,2011,
7_3,2,190.7751382,2011,
7_4,0,193.5,2011,
7_5,3,196.1019694,2011,
7_6,3,199.3180872,2011,
7_7,3,202.9399873,2011,
7_8,1.51372549,205.6155956,2011,
7_9,2.094117647,208.3537329,2011,
7_10,1,211.3070863,2011,
7_11,0,214.5,2011,
7_12,1,218.8766825,2011,
7_13,1,220.9724954,2011,
7_14,0.937254902,222.5598552,2011,
8_0,1,183.9779806,2012,
8_1,0,187.5,2012,
8_2,0,190.5,2012,
8_3,1,192.5722188,2012,
8_4,1,196.4785415,2012,
8_5,0,199.5,2012,
