system:index,Count,DOY,Year,.geo
0_0,8,-1.938248909,2004,
0_1,28,2.843357187,2004,
0_2,88,7.684278875,2004,
0_3,175,12.89671082,2004,
0_4,297,17.68501119,2004,
0_5,299,22.49760019,2004,
0_6,329,27.4955498,2004,
0_7,285.0156863,32.48827203,2004,
0_8,224,37.2562799,2004,
0_9,199,42.43070236,2004,
0_10,156.3254902,47.35274314,2004,
0_11,143,52.2637616,2004,
0_12,102,57.44690736,2004,
0_13,84,62.21974987,2004,
0_14,71,67.5684736,2004,
0_15,61,72.60044701,2004,
0_16,63,77.51101878,2004,
0_17,34,82.43743295,2004,
0_18,35,87.57837673,2004,
0_19,28,92.35847923,2004,
0_20,13,97.75766161,2004,
1_0,1,-15.20532878,2005,
1_1,12,-11.96505625,2005,
1_2,40,-7.45768432,2005,
1_3,72,-2.519932122,2005,
1_4,130,2.91863259,2005,
1_5,200,7.767561816,2005,
1_6,320,12.66088459,2005,
1_7,443,17.58693943,2005,
1_8,482.1882353,22.49165843,2005,
1_9,454,27.38317156,2005,
1_10,425.0156863,32.45771203,2005,
1_11,293.2784314,37.33062049,2005,
1_12,230,42.37496933,2005,
1_13,175,47.28734381,2005,
1_14,103,52.44764901,2005,
1_15,54,57.35797255,2005,
1_16,44,62.25850525,2005,
1_17,36,67.24823828,2005,
1_18,30,72.37780833,2005,
1_19,24,77.63744775,2005,
1_20,24,82.75498177,2005,
1_21,12,87.21172912,2005,
1_22,12,92.26852861,2005,
1_23,3,97.454575,2005,
2_0,1,-16.32634635,2006,
2_1,1,-12.35588531,2006,
2_2,1,-5.425301056,2006,
2_3,4,-1.199196336,2006,
2_4,22,2.978769121,2006,
2_5,70,8.036528973,2006,
2_6,232,13.01626743,2006,
2_7,561,17.60217142,2006,
2_8,736.1882353,22.47090698,2006,
2_9,598,27.30442088,2006,
2_10,449,32.43471157,2006,
2_11,387.1568627,37.31423783,2006,
2_12,284,42.36627532,2006,
2_13,225,47.32147932,2006,
2_14,144,52.10455417,2006,
2_15,102,57.43094262,2006,
2_16,63,62.08994796,2006,
2_17,30,67.49079852,2006,
2_18,33,72.43990423,2006,
2_19,23,77.5301291,2006,
2_20,26,82.16510867,2006,
2_21,12,87.32958361,2006,
2_22,7,91.92217113,2006,
2_23,4,96.87439718,2006,
3_0,2,-17.62990336,2007,
3_1,2,-12.29759778,2007,
3_2,5,-6.781953808,2007,
3_3,11,-2.68968199,2007,
3_4,20,2.707132561,2007,
3_5,68,8.039234654,2007,
3_6,180.1882353,12.93117758,2007,
3_7,350.8745098,17.75014856,2007,
3_8,571,22.61212833,2007,
3_9,777.0156863,27.54923006,2007,
3_10,845.4196078,32.52391732,2007,
3_11,790,37.43257964,2007,
3_12,600.5764706,42.35756295,2007,
3_13,420,47.26016913,2007,
3_14,253,52.45604869,2007,
3_15,120,57.21112676,2007,
3_16,79.49803922,62.12494629,2007,
3_17,58,67.2695277,2007,
3_18,35,72.41678101,2007,
3_19,24.90588235,77.32313532,2007,
3_20,24,82.31462493,2007,
3_21,24,87.44867949,2007,
3_22,16,92.53203779,2007,
3_23,9,97.57757692,2007,
4_0,1,-15.2801391,2008,
4_1,3,-11.91083646,2008,
4_2,6,-6.139136211,2008,
4_3,22,-2.23625863,2008,
4_4,72,3.157137691,2008,
4_5,233,7.789511932,2008,
4_6,477,12.60520013,2008,
4_7,622,17.64633673,2008,
4_8,705.9921569,22.51444397,2008,
4_9,657,27.4525579,2008,
4_10,533.2509804,32.39643058,2008,
4_11,415.8431373,37.24673494,2008,
4_12,282.0627451,42.3632632,2008,
4_13,163,47.43327277,2008,
4_14,89,52.57074388,2008,
4_15,67,57.24349492,2008,
4_16,41,62.19965687,2008,
4_17,31,67.33825085,2008,
4_18,23,72.19477002,2008,
4_19,13,77.79606896,2008,
4_20,7,82.67228329,2008,
4_21,5,87.39874429,2008,
4_22,4,92.53267638,2008,
4_23,3,95.85836106,2008,
5_0,2,-26.87473816,2009,
5_1,2,-20.21872488,2009,
5_2,13,-17.37851064,2009,
5_3,12,-12.28669603,2009,
5_4,43,-7.64162844,2009,
5_5,58,-2.179112096,2009,
5_6,82,2.808922852,2009,
5_7,148.6078431,7.869411934,2009,
5_8,285.8745098,12.82170887,2009,
5_9,458.5294118,17.61228029,2009,
5_10,735.5137255,22.60102775,2009,
5_11,837,27.56269093,2009,
5_12,804.4235294,32.46753329,2009,
5_13,635,37.38514813,2009,
5_14,493,42.37473707,2009,
5_15,332,47.2309175,2009,
5_16,215,52.29175532,2009,
5_17,135,57.26209387,2009,
5_18,58,62.25259074,2009,
5_19,44,67.33346454,2009,
5_20,12,72.38563054,2009,
5_21,9,77.76799395,2009,
5_22,8,82.36819347,2009,
5_23,4,87.58608678,2009,
5_24,5,92.62349502,2009,
5_25,0,97.5,2009,
6_0,1,-35.54586525,2010,
6_1,1,-32.29772545,2010,
6_2,0,-27.5,2010,
6_3,3,-22.44161777,2010,
6_4,21,-17.22298291,2010,
6_5,16,-12.72705092,2010,
6_6,27,-7.288175839,2010,
6_7,35,-2.265559634,2010,
6_8,90,2.726700544,2010,
6_9,170,7.68529939,2010,
6_10,296,12.59192087,2010,
6_11,295,17.50731912,2010,
6_12,299,22.46760776,2010,
6_13,331.2509804,27.72233435,2010,
6_14,471,32.67606351,2010,
6_15,581,37.59796592,2010,
6_16,637.3254902,42.5452405,2010,
6_17,582,47.46685512,2010,
6_18,507.8745098,52.27518116,2010,
6_19,428,57.51712362,2010,
6_20,308,62.46362588,2010,
6_21,221,67.32079929,2010,
6_22,165,72.36554134,2010,
6_23,95,77.42744285,2010,
6_24,77,82.35095116,2010,
6_25,35,87.69589845,2010,
6_26,26,92.57228685,2010,
6_27,11,97.33261877,2010,
7_0,1,-21.84852156,2011,
7_1,2,-16.61255272,2011,
7_2,11,-12.79196782,2011,
7_3,9,-7.305626223,2011,
7_4,69,-1.96971546,2011,
7_5,221,3.141998639,2011,
7_6,474,7.8131328,2011,
7_7,852.9843137,12.64934125,2011,
7_8,997.2627451,17.60757737,2011,
7_9,1049.172549,22.53711536,2011,
7_10,912.2039216,27.39658219,2011,
7_11,678.2784314,32.35211867,2011,
7_12,480,37.3230578,2011,
7_13,298,42.19731354,2011,
7_14,143,47.27934141,2011,
7_15,84.84313725,52.37400788,2011,
7_16,53.0627451,57.38116103,2011,
7_17,26,62.88211639,2011,
7_18,24,67.50216323,2011,
7_19,16,72.27140956,2011,
7_20,22,78.2215896,2011,
7_21,13,82.21141909,2011,
7_22,9,86.75717948,2011,
7_23,5,92.59181775,2011,
7_24,3,97.45569737,2011,
8_0,2,-16.43612597,2012,
8_1,1,-13.28058422,2012,
8_2,15,-7.273990526,2012,
8_3,27,-1.993814764,2012,
8_4,108,2.623590545,2012,
8_5,322.2039216,7.791606386,2012,
8_6,724.8901961,12.71491228,2012,
8_7,1111,17.59013096,2012,
8_8,1059.172549,22.36540767,2012,
8_9,814,27.3617789,2012,
8_10,561.2509804,32.28043518,2012,
8_11,379,37.28271224,2012,
8_12,231,42.05662907,2012,
8_13,128,47.15115545,2012,
8_14,74,52.02379077,2012,
8_15,42,57.27963939,2012,
8_16,31,62.4944884,2012,
8_17,16,67.07747881,2012,
8_18,14,71.31773695,2012,
8_19,11,77.86737461,2012,
8_20,6,83.84033893,2012,
8_21,3,85.85172201,2012,
8_22,2,92.68966852,2012,
8_23,3,97.75922854,2012,
9_0,1,-45.83574312,2013,
9_1,0,-42.5,2013,
9_2,1,-37.35181255,2013,
9_3,1,-34.28656244,2013,
9_4,6,-28.41769115,2013,
9_5,4,-22.66558324,2013,
9_6,18,-17.26951012,2013,
9_7,15,-12.83654312,2013,
9_8,38,-7.292819605,2013,
9_9,98,-2.136835371,2013,
9_10,254.172549,2.972756855,2013,
9_11,561,7.838270808,2013,
9_12,1027,12.66589356,2013,
9_13,1384.607843,17.5342976,2013,
9_14,1316.74902,22.43119418,2013,
9_15,979,27.34150872,2013,
9_16,605,32.32109995,2013,
9_17,376,37.24098342,2013,
9_18,242,42.4334114,2013,
9_19,139,47.40131028,2013,
9_20,75,52.40048692,2013,
