system:index,Count,DOY,Year,.geo
0_0,1,3.742379795,2004,
0_1,1,9.751164566,2004,
0_2,3,12.30448811,2004,
0_3,8,17.6860869,2004,
0_4,14,22.40015807,2004,
0_5,11,27.40772559,2004,
0_6,23,33.14117096,2004,
0_7,28,37.55044251,2004,
0_8,54,42.34721989,2004,
0_9,69.25098039,47.51452069,2004,
0_10,76,52.65281733,2004,
0_11,82.71764706,57.60236085,2004,
0_12,103,62.57640343,2004,
0_13,99,67.37654649,2004,
0_14,101,72.46025842,2004,
0_15,63,77.25956792,2004,
0_16,34,82.25323134,2004,
0_17,25,87.03835023,2004,
0_18,13,92.04111586,2004,
0_19,6,98.95616384,2004,
1_0,4,2.87017464,2005,
1_1,4,8.035550501,2005,
1_2,7,13.55832521,2005,
1_3,36,17.79835055,2005,
1_4,61,22.54865868,2005,
1_5,96.62352941,27.59441867,2005,
1_6,144,32.85967134,2005,
1_7,171.7647059,37.47167382,2005,
1_8,164.6392157,42.30299556,2005,
1_9,170.0156863,47.46399293,2005,
1_10,161,52.2607291,2005,
1_11,121,57.28641404,2005,
1_12,109,62.4476506,2005,
1_13,63,67.37465009,2005,
1_14,43,72.46279922,2005,
1_15,25,77.49640438,2005,
1_16,11,81.4343986,2005,
1_17,6,87.51464296,2005,
1_18,4,92.55503021,2005,
1_19,0,97.5,2005,
2_0,1,-9.196838847,2006,
2_1,2,-1.216717688,2006,
2_2,3,3.213452365,2006,
2_3,5,7.959206052,2006,
2_4,11,13.71870093,2006,
2_5,27,17.82623284,2006,
2_6,47.95294118,22.40131175,2006,
2_7,57,27.65195241,2006,
2_8,73,32.77862605,2006,
2_9,74.54509804,37.5038408,2006,
2_10,88,42.18721832,2006,
2_11,90,47.42707597,2006,
2_12,79,52.11110153,2006,
2_13,82,57.37847577,2006,
2_14,85.90588235,62.3403559,2006,
2_15,68,67.75841591,2006,
2_16,67,72.7176316,2006,
2_17,48,77.39951581,2006,
2_18,22,82.84289552,2006,
2_19,28,86.71873626,2006,
2_20,15,92.35036687,2006,
2_21,8,97.45804526,2006,
