system:index,Count,DOY,Year,.geo
0_34,3,52.56449561,2003,
0_35,2,58.85184282,2003,
0_36,3,62.85138653,2003,
0_37,4,67.5014985,2003,
0_38,11,71.75541365,2003,
0_39,6,77.19895277,2003,
0_40,7,83.06855469,2003,
0_41,17,87.63262441,2003,
0_42,20,92.39218735,2003,
0_43,20,97.71820128,2003,
0_44,44,102.5906903,2003,
0_45,38,107.4187768,2003,
0_46,44,112.3270931,2003,
0_47,52,117.807352,2003,
0_48,33,122.5696288,2003,
0_49,39,127.4105592,2003,
0_50,15,132.0133353,2003,
0_51,7,137.1553619,2003,
0_52,3,141.7736152,2003,
0_53,1,149.9609087,2003,
1_14,7,52.45677711,2004,
1_15,7,57.0600768,2004,
1_16,20,63.2116166,2004,
1_17,13,67.74207488,2004,
1_18,29,72.8137157,2004,
1_19,32,77.74528881,2004,
1_20,41,81.83715636,2004,
1_21,40,87.27296457,2004,
1_22,18,92.09121314,2004,
1_23,13,97.99469207,2004,
1_24,27,102.9462803,2004,
1_25,18,107.3995297,2004,
1_26,24,112.791274,2004,
1_27,12,117.9061588,2004,
1_28,15,122.0144819,2004,
1_29,9,126.5663021,2004,
1_30,3,132.1625759,2004,
1_31,0,137.5,2004,
1_32,0,142.5,2004,
1_33,1,146.9298487,2004,
2_21,2,53.62596419,2005,
2_22,3,56.20465514,2005,
2_23,7,61.94130473,2005,
2_24,10,67.92996604,2005,
2_25,18,72.86339567,2005,
2_26,15,78.27475038,2005,
2_27,20,82.19011886,2005,
2_28,38,87.79004993,2005,
2_29,39,91.86543167,2005,
2_30,62,97.42219518,2005,
2_31,63,102.8003547,2005,
2_32,49,107.3683321,2005,
2_33,53,112.1109879,2005,
2_34,20,117.0449354,2005,
2_35,25,122.8660777,2005,
2_36,9,127.084046,2005,
2_37,3,132.7918779,2005,
2_38,4,137.0693758,2005,
2_39,2,143.3966079,2005,
2_40,2,147.6324511,2005,
3_11,12,52.31341752,2006,
3_12,17,56.89091094,2006,
3_13,14,63.10353058,2006,
3_14,16,67.62169262,2006,
3_15,23,73.69073523,2006,
3_16,37,77.25465626,2006,
3_17,45,82.58769479,2006,
3_18,71,87.67460149,2006,
3_19,71,92.38008776,2006,
3_20,40,97.79089093,2006,
3_21,19,102.3817167,2006,
3_22,5,107.0878375,2006,
3_23,6,112.5803366,2006,
3_24,6,117.2430168,2006,
3_25,5,122.9003649,2006,
3_26,2,126.983239,2006,
3_27,2,133.4863807,2006,
3_28,0,137.5,2006,
3_29,0,142.5,2006,
3_30,0,147.5,2006,
4_22,9,52.9418225,2007,
4_23,18,57.19068794,2007,
4_24,23,62.66337254,2007,
4_25,32,67.57484963,2007,
4_26,45,72.20855202,2007,
4_27,63,77.9255175,2007,
4_28,41,81.90894578,2007,
4_29,36,87.30783567,2007,
4_30,34,92.71114289,2007,
4_31,46,97.48577609,2007,
4_32,34,102.5302327,2007,
4_33,22,107.7162449,2007,
4_34,20,112.2187575,2007,
4_35,13,117.4500992,2007,
4_36,8,123.5450337,2007,
4_37,1,126.4204518,2007,
4_38,0,132.5,2007,
4_39,1,139.2784534,2007,
4_40,0,142.5,2007,
4_41,0,147.5,2007,
5_21,3,51.19111723,2008,
5_22,7,57.15375442,2008,
5_23,11,61.92724654,2008,
5_24,34,67.41642105,2008,
5_25,22,72.56257771,2008,
5_26,33,77.6331514,2008,
5_27,28,82.63106608,2008,
5_28,31,87.46124569,2008,
5_29,46,92.19563488,2008,
5_30,45,97.66981165,2008,
5_31,55,102.7082075,2008,
5_32,72,107.7442329,2008,
5_33,85,112.4432645,2008,
5_34,49,117.0569673,2008,
5_35,19,122.1668629,2008,
5_36,7,126.7099093,2008,
5_37,2,131.7952377,2008,
5_38,0,137.5,2008,
5_39,0,142.5,2008,
5_40,1,145.4641848,2008,
6_18,26,52.55963331,2009,
6_19,21,58.03407058,2009,
6_20,29,62.41215569,2009,
6_21,22,67.54069927,2009,
6_22,27,72.89732357,2009,
6_23,29,78.1190865,2009,
6_24,47,82.48039795,2009,
6_25,56,87.4286552,2009,
6_26,35,92.40860346,2009,
6_27,48,97.70397731,2009,
6_28,38,102.2219501,2009,
6_29,37,107.6962988,2009,
6_30,35,112.9209471,2009,
6_31,9,115.9143966,2009,
6_32,15,122.3817946,2009,
6_33,5,128.1783462,2009,
6_34,2,132.2902966,2009,
6_35,1,135.1832752,2009,
6_36,0,142.5,2009,
6_37,0,147.5,2009,
7_28,14,51.94785723,2010,
7_29,15,57.71968523,2010,
7_30,30,62.51984837,2010,
7_31,35,67.6905038,2010,
7_32,42,72.31549877,2010,
7_33,55,77.53978152,2010,
7_34,55,82.80891963,2010,
7_35,43,87.14056734,2010,
7_36,47,92.66387338,2010,
7_37,39,97.73636348,2010,
7_38,37,102.152257,2010,
7_39,13,107.3855437,2010,
7_40,12,112.0766727,2010,
7_41,5,117.797541,2010,
7_42,4,123.0625048,2010,
7_43,4,127.543455,2010,
7_44,0,132.5,2010,
7_45,1,136.1327318,2010,
7_46,0,142.5,2010,
7_47,0,147.5,2010,
8_13,2,51.08025644,2011,
8_14,1,58.24181329,2011,
8_15,11,62.9552844,2011,
8_16,6,67.97855565,2011,
8_17,9,72.79971443,2011,
8_18,20,77.56949807,2011,
8_19,21,82.12853671,2011,
8_20,47,87.4419534,2011,
8_21,40,92.58754737,2011,
8_22,49,97.56856267,2011,
8_23,69,102.6379706,2011,
8_24,59,107.6675782,2011,
8_25,63,112.6377604,2011,
8_26,35,117.2594501,2011,
8_27,19,122.2471356,2011,
8_28,4,128.0400018,2011,
8_29,7,130.8754656,2011,
8_30,1,137.006748,2011,
8_31,1,143.8601674,2011,
8_32,1,147.6132673,2011,
9_20,2,52.35150225,2012,
9_21,13,57.8946226,2012,
9_22,19,62.53782766,2012,
9_23,17,67.40437696,2012,
9_24,39,72.79607073,2012,
9_25,57,77.75965203,2012,
9_26,95,82.44433911,2012,
9_27,82,87.60055137,2012,
9_28,94,92.41404273,2012,
9_29,37,97.30606184,2012,
9_30,26,102.4423477,2012,
9_31,29,107.145419,2012,
9_32,15,112.6281506,2012,
9_33,6,117.9680635,2012,
9_34,1,122.4002496,2012,
9_35,0,127.5,2012,
9_36,0,132.5,2012,
9_37,0,137.5,2012,
9_38,0,142.5,2012,
9_39,0,147.5,2012,
