DayOfYear,class,lat,lon,old_class,point_id,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b04,sur_refl_b05,sur_refl_b06,sur_refl_b07,system:time_start,year
223,1,-11.72019368,-55.41501791,1,2406,2004,3419,816,1473,4430,4959,4084,1.28E+12,2011
223,1,-11.74815597,-55.41286352,1,2407,1595,2846,636,1116,4161,4665,3206,1.28E+12,2011
223,1,-11.75031037,-55.41286352,1,2408,1507,2724,610,1066,4087,,3162,1.28E+12,2011
223,1,-11.79766224,-55.38490123,1,2409,1598,2873,674,1112,4313,,2951,1.28E+12,2011
218,0,-11.79981664,-55.34832135,2,2410,765,2670,391,697,3121,2569,1580,1.28E+12,2011
223,1,-11.80838934,-55.35693894,1,2411,1516,2736,635,1042,3914,,2655,1.28E+12,2011
223,1,-11.82131573,-55.33970376,1,2412,1602,2885,633,1069,4130,,2909,1.28E+12,2011
223,1,-11.81700694,-55.34401255,1,2413,1177,3048,497,883,4141,,2869,1.28E+12,2011
223,2,-11.81269814,-55.34185815,4,2414,1355,2644,541,917,4016,,2433,1.28E+12,2011
223,1,-11.81485254,-55.33108616,1,2415,1226,2811,541,910,4175,,2575,1.28E+12,2011
223,1,-11.81916133,-55.33539496,1,2416,1685,3208,664,1139,4171,,2706,1.28E+12,2011
223,1,-11.80838934,-55.33539496,1,2417,1376,2841,565,949,3759,,1989,1.28E+12,2011
223,1,-11.75031037,-55.39567322,1,2418,1527,2606,761,1150,3908,3752,2417,1.28E+12,2011
223,1,-11.72661199,-55.40209153,1,2419,1972,2925,781,1323,4028,,3240,1.28E+12,2011
223,2,-11.89662989,-55.06856381,4,2420,1405,2816,436,869,4108,4201,2694,1.28E+12,2011
223,0,-11.90740188,-55.075027,2,2421,1337,2501,470,850,3842,,2825,1.28E+12,2011
223,0,-11.89878429,-55.0814902,2,2422,1658,2929,659,1154,4202,4655,3263,1.28E+12,2011
223,2,-11.91597459,-55.09010779,4,2423,1495,2970,481,962,4113,4114,2387,1.28E+12,2011
223,0,-11.93105537,-55.0922173,2,2424,1540,2813,626,1058,4064,4425,2795,1.28E+12,2011
223,2,-11.94398176,-55.10729809,4,2425,1543,3032,504,1005,4258,,2611,1.28E+12,2011
223,2,-11.92890097,-55.10298929,4,2426,1762,3132,580,1143,4683,,3211,1.28E+12,2011
223,0,-11.91812899,-55.11160688,2,2427,1789,2844,524,1076,3998,4287,2594,1.28E+12,2011
223,0,-11.96978965,-55.13526038,2,2428,1435,2707,497,921,3967,,2756,1.28E+12,2011
223,1,-11.96763525,-55.19984743,1,2429,1229,2341,469,794,3746,,2673,1.28E+12,2011
223,1,-11.97840724,-55.18907544,1,2430,1336,2626,446,850,3413,,2224,1.28E+12,2011
223,1,-11.98271604,-55.19769303,1,2431,1468,2671,584,1034,3744,,2810,1.28E+12,2011
223,1,-11.99344314,-55.19553863,1,2432,1387,2458,512,906,3844,,3058,1.28E+12,2011
