system:index,Muni_code,double_area_km2_sum,double_delay_median,double_harvest_median,double_plant_median,latitude_median,longitude_median,muni_area_km2,onset_historicalRange_median,onset_median,single_area_km2_sum,single_delay_median,single_harvest_median,single_plant_median,total_planted_area_km2_sum,year_median
1_0,NA,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
2_0_00005aff5522742dc03f,5106265,0.244771406,31.39319164,194.3931916,80.39319164,-9.728783116,-55.38762482,5815.080394,40,49,1.468553266,19.83523812,191.8548462,68.83523812,1.713324672,2004
2_0_0000f5028d3da3fc2087,5105606,0.244524234,21.55329339,184.5532934,70.55329339,-10.0746345,-54.3253825,5260.6138,29,53,0.244584313,70.66910968,225.1191097,119.6691097,0.489108547,2004
2_0_0000dc2d69eb619ae00f,5105580,0.975379219,26.19745101,191.197451,77.19745101,-10.87862668,-54.08955924,12330.14829,39,53,0.487587219,35.93852462,208.0635246,86.93852462,1.462966437,2004
2_0_00004234272352c5d97d,5107354,0,,,,-10.69447205,-52.60733902,7489.749363,43,55,2.682872391,74.2031704,239.7115061,129.2031704,2.682872391,2004
2_0_0000137f8185e9645862,5107859,0.243430328,74.54930806,234.9993081,129.5493081,-11.45578641,-52.11790079,16781.53295,43,56,6.330502,70.45358112,235.0773436,126.7633895,6.573932328,2004
2_0_0000c9cd78e3dc7229b5,5106190,2.683584094,50.51351727,209.7203616,99.51351727,-10.89210141,-54.88905984,2368.957071,40,49,0.724208188,53.77226635,219.5360093,102.7722664,3.407792282,2004
2_0_0000e355c6d9aabfc531,5108055,0.488726859,27.6427143,190.6427143,76.6427143,-10.51031741,-54.98787452,2573.023626,40,49,0,,,,0.488726859,2004
2_0_0000c783ea68e049a389,5104559,5.342874752,31.80489829,195.6037555,76.80489829,-11.1032055,-55.59647456,4549.253985,54,45,1.819062592,45.46461695,212.5106946,93.25160121,7.161937345,2004
2_0_00006a1dc3eec8d9b903,5103056,5.781249846,39.66365735,205.6606641,84.66365735,-11.44007373,-55.03728186,3866.018161,47,45,16.3422663,58.06653672,213.5929909,108.0774066,22.12351615,2004
2_0_000091b0220c7f13a109,5107909,120.4006513,29.24983523,193.8248161,74.20385419,-11.71405989,-55.50440581,3957.450188,47,45,36.09872692,46.85691499,206.0434122,91.09731727,156.4993782,2004
2_0_00001c54c272496761e1,5107248,26.73454195,38.1407649,202.4011971,83.1407649,-11.94313029,-54.92724197,3870.366973,47,45,14.71970843,59.747497,210.3865695,104.747497,41.45425038,2004
2_0_0000212db09c736a9e89,5108303,0.486906188,42.43588539,201.4358854,87.43588539,-11.51193896,-54.33659594,4600.237578,46,53,0.243460672,71.48314264,221.9331426,116.4831426,0.730366859,2004
2_0_0000ca93741c12e7e196,5103700,1.455724438,49.74391115,215.9146693,105.7439112,-11.97233355,-54.08505354,11507.3391,47,53,4.370996875,64.70994276,220.0055101,112.0685044,5.826721313,2004
2_0_000019f0640d85df838c,5106240,165.7322331,27.73122207,200.7066716,83.27722004,-12.97393351,-54.78350276,12754.7676,50,55,177.0300474,60.41054337,222.4354678,115.478921,342.7622805,2004
2_0_00003435e1fc974d5667,5108501,96.97550767,34.21690888,198.2035215,80.80652907,-12.41025424,-55.35618379,2973.7934,35,45,39.94812402,61.73838554,217.8416659,108.2724334,136.9236317,2004
2_0_0000c701db318caaec1e,5107925,1122.483396,24.48450804,194.2221068,76.21767423,-12.76285643,-55.70652675,9367.02827,46,56,236.1716225,45.48078935,209.577883,97.40168488,1358.655019,2004
2_0_0000ea6b0f20abd21433,5107768,191.7682856,25.70626452,198.7826495,81.1865609,-13.85205027,-55.30228487,4749.942567,54,55,130.0736662,57.23799538,220.764522,112.2312405,321.8419519,2004
2_0_00001e852d0dd44144a7,5106307,1.930465969,57.03532486,220.88904,112.0353249,-13.86779518,-54.12100027,24256.23226,57,55,13.73140431,65.27417176,227.4104625,120.2741718,15.66187028,2004
2_0_0000ef331a3022791b58,5103858,9.419629625,39.2487888,208.2895341,94.2487888,-13.01886186,-53.4495119,16994.20033,43,55,15.94464706,64.42718786,226.9828505,119.4271879,25.36427669,2004
2_0_0000e0b247e362c9b125,5102702,28.52419025,44.40731119,215.0186584,106.4073112,-13.39615912,-52.48831705,10923.81367,43,62,40.69824274,56.71776066,228.4206616,118.3234134,69.22243299,2004
2_0_0000cf70af7797718866,5107065,6.305120797,51.01838239,225.1646251,110.9841242,-12.11828865,-52.71513685,17853.17773,43,56,96.08230015,60.28780883,233.7729851,120.2766844,102.387421,2004
2_0_000015e17b8b0f516065,5102694,0,,,,-11.18854545,-51.82131314,3466.503525,42,56,1.218360797,56.06912207,228.4763171,115.0691221,1.218360797,2004
2_0_000019667622f6247e03,5106778,0,,,,-10.83371092,-51.74718826,3988.122068,43,56,0.975816344,50.56079276,212.0107928,106.5607928,0.975816344,2004
2_0_000059bee336417acb78,5100359,0,,,,-11.81287458,-51.71800689,2249.210563,42,60,0.486523531,53.23083491,218.6808349,113.2308349,0.486523531,2004
2_0_00000270ecad8c7396c6,5101852,0,,,,-12.21711645,-51.7539395,4290.761587,41,60,7.766060266,67.38008402,230.712542,127.380084,7.766060266,2004
2_0_0000599325b905cc7a0c,5107180,0,,,,-12.86166431,-51.56753413,11398.41663,30,60,5.819739078,64.50156473,223.0305471,124.5015647,5.819739078,2004
2_0_0000914ff30a7448a9f0,5108600,0,,,,-9.975819819,-51.36988178,7462.662941,42,56,0.244627406,71.8780772,233.3280772,127.8780772,0.244627406,2004
2_0_0000284fcb045e32cc09,5213103,20.76182183,38.91438692,207.5546735,96.05810458,-17.64520136,-52.80726034,8918.677057,52,58,169.0737274,49.76664969,219.7503769,110.264344,189.8355492,2004
2_0_0000c8f885d15a62afca,5107198,2.145643203,65.37410878,241.5005851,122.1278272,-16.50208036,-52.75106946,627.6958356,40,65,17.87975956,68.96984781,242.6586003,128.4248744,20.02540277,2004
2_0_0000d614b707521f8862,5108204,0,,,,-16.28199311,-52.89929148,2407.475885,42,55,17.64809011,69.22411165,243.2569939,124.2241117,17.64809011,2004
2_0_0000a55469c19114aecb,5101803,0.720155516,55.46163116,242.1479962,136.4616312,-15.35447899,-52.44789254,9112.684625,59,81,4.890518413,57.07803182,235.8764592,126.2524198,5.610673928,2004
2_0_0000345cf55fda086442,5106174,0.241353016,57.45925527,227.9092553,122.4592553,-14.2136398,-51.87521206,4051.919359,46,66,0.482741891,77.98917667,246.4391767,140.9891767,0.724094906,2004
2_0_00007f48dd4b4caa1456,5100201,1.929588438,57.80209142,226.7520914,121.3020914,-13.98230599,-52.48830834,7538.979584,46,65,14.83627315,54.93842773,228.3768869,117.9130833,16.76586159,2004
2_0_0000dcf1e0a383eb6653,5106257,6.966711297,70.42721659,246.878641,135.4272166,-14.62010984,-52.47259172,5564.129906,58,65,11.68363804,64.29883772,241.5700222,129.2988377,18.65034934,2004
2_0_0000c2e06bcf0cbd8141,5102603,0,,,,-14.41125129,-53.14183661,5988.885858,30,64,1.68338,70.06580294,240.5158029,135.0658029,1.68338,2004
2_0_00002b1c631d7df522ac,5106281,27.82848214,60.07021321,233.0232632,127.0084904,-15.08723379,-53.23842597,5052.617025,57,65,98.96036494,63.50101179,232.785115,124.2019086,126.7888471,2004
2_0_00002a12eb64652d6054,5103908,33.40786563,58.41789157,221.4194322,113.4178916,-15.55884931,-53.44052788,3807.41337,57,55,86.90622254,70.32821982,231.7129942,125.3282198,120.3140882,2004
2_0_0000a018b45735917b0b,5108105,11.46217305,36.41819268,200.1247229,91.41819268,-15.90470069,-53.44726381,4202.709936,54,55,41.96276811,68.18361661,231.3115703,126.1298438,53.42494116,2004
2_0_0000743392f358eccf24,5107008,32.66228249,65.24451522,228.1924093,120.2445152,-15.86201796,-54.18388234,6923.361049,54,55,27.83834649,66.4848918,229.2538577,121.4848918,60.50062898,2004
2_0_000098e15ac276eba6e3,5107040,123.6686702,40.66891321,209.2642124,95.66891321,-15.08947641,-54.2108318,5500.578559,69,55,292.1150914,68.7951165,227.2280708,123.7951165,415.7837616,2004
2_0_0000bdb8fec2bec935ec,5107792,43.71330472,59.39770737,224.1523122,119.2991593,-14.83121393,-53.66735105,3613.549184,69,55,112.5893382,65.19610001,227.2775569,121.8061567,156.3026429,2004
2_0_0000d9cc9ac264951505,5106455,0,,,,-14.60214353,-54.69143048,2464.97329,66,55,0.240548281,69.33670119,229.7867012,124.3367012,0.240548281,2004
2_0_00000299a420bcda4d53,5106208,0,,,,-14.7997729,-55.02601849,3274.985713,53,55,0.501676034,72.93198995,233.3819899,127.9319899,0.501676034,2004
2_0_000048f95e9d96881972,5107701,0.236793769,52.7093702,216.1593702,110.7093702,-14.77059852,-55.99189482,7543.432493,50,55,0.961668031,49.00454634,220.7378407,104.5045463,1.1984618,2004
2_0_0000a943d8e067a6b312,5106224,667.9320162,23.74965625,196.2390427,80.26842461,-13.65216917,-56.0972939,9579.93819,30,56,197.0739832,50.74286681,215.2190415,106.7545252,865.0059994,2004
2_0_0000f9c4c9a4c7914235,5105903,4.082276461,45.92528851,209.3752885,103.9252885,-14.35510683,-55.80759064,3918.843258,53,58,7.372465561,67.24534465,228.9126674,125.2453447,11.45474202,2004
2_0_000003d8fa3e919cc214,5103007,3.592829734,31.58677914,199.5867791,83.93859872,-15.09836622,-55.5425929,6511.484888,32,55,18.78685461,65.70403956,225.2964434,118.7576454,22.37968434,2004
2_0_00009f0e64f54ee33690,5102678,57.86399751,44.31187572,207.721536,98.6388323,-15.32528734,-54.98112326,4799.235579,50,54,289.0074123,64.45237105,224.5875051,119.4977584,346.8714098,2004
2_0_000092dbc2173f3f1483,5107800,7.219901458,71.77318855,226.5341451,125.985485,-16.47289897,-55.42581642,12183.40404,39,55,68.49725523,69.54535254,228.4775309,123.5665373,75.71715669,2004
2_0_0000b869feffefcd5395,5103601,17.48644944,37.75190019,203.6776516,92.77596742,-15.65317242,-54.77227885,2211.036023,35,55,14.13378683,58.68923973,225.1126869,113.276532,31.62023627,2004
2_0_0000eba7d3dfdfd50375,5107602,36.09764539,61.27903658,216.2317298,116.2790366,-16.48860563,-54.68244732,4172.692801,35,55,169.3809411,69.75739133,228.2387252,124.7573913,205.4785865,2004
2_0_000008047e70a3f69008,5105200,3.103058203,45.40135943,223.9805641,99.40135943,-16.17419528,-54.94745033,2275.848781,32,54,41.54663633,71.73352621,230.8666181,125.7335262,44.64969453,2004
2_0_0000816d7b8f4e1759dd,5104807,4.77997375,63.41166261,222.8616626,117.4116626,-15.91368385,-55.10914708,1682.809519,27,54,35.21170362,68.66042091,228.1505653,122.6604209,39.99167737,2004
2_0_000048959ee3b55d9f95,5104609,49.86080447,74.27212169,235.5238259,129.2721217,-17.33751357,-54.60384474,8750.970009,42,55,315.0466935,72.21636116,231.2445565,127.2163612,364.907498,2004
2_0_00004813377b4c00da4d,5106372,13.85157409,84.55988149,238.8736371,139.5598815,-16.79403283,-54.25574756,4122.319679,48,55,54.86619634,76.17900543,236.6466209,131.1790054,68.71777043,2004
2_0_000013b83de316c86a40,5104203,9.545317393,66.35586078,227.2903468,121.3558608,-16.38529937,-53.59772354,5080.158715,52,55,108.6730597,67.25144705,233.8307703,123.8722313,118.2183771,2004
2_0_0000282e266c3d805111,5100409,33.11662762,65.2323584,221.6577917,120.2323584,-16.89733908,-53.5820111,3760.25818,52,55,152.7785758,73.55013202,229.8067535,128.550132,185.8952035,2004
2_0_00006363eaf98e56d147,5100300,5.225125738,63.12487551,230.5513863,118.1248755,-17.43407989,-53.47421327,5531.80258,52,55,24.90261496,67.92282246,230.1879212,122.9228225,30.1277407,2004
2_0_00005aa29eda6c0c5b8e,5100607,20.23729409,57.88338513,222.9450408,119.8068094,-17.83158698,-53.29904179,1420.760297,52,62,147.9437124,60.21169897,227.7486909,121.2412523,168.1810065,2004
2_0_00005198152ed9cc0c18,5106752,0,,,,-15.59029035,-59.42555202,8587.818825,56,37,0.240083,99.93873781,228.1387378,136.9387378,0.240083,2004
2_0_0000785b8f5270ce2002,5106182,0.240757062,25.6794969,189.6794969,75.6794969,-14.28773318,-59.73774507,4751.907204,42,50,2.648403187,71.23847615,226.6884761,121.2384761,2.88916025,2004
