count,double_delay,double_harvest,double_plant,label,latitude,longitude,onset,single_delay,single_harvest,single_plant,total_planted_area_km2,year
25,,,,5764500,-9.248184439,-61.56803398,34,,,,,2004
113,,,,7717572,-8.812501526,-61.51413506,35,,,,,2004
25,,,,7717572,-8.98318143,-61.50515191,35,,,,,2004
476,,,,5764500,-9.113437147,-61.51862664,34,,,,,2004
1130,,,,9883230,-9.342507544,-61.54557609,34,,,,,2004
81,,,,10138590,-9.522170601,-61.50964348,34,,,,,2004
3,,,,10138590,-9.612002129,-61.50066033,34,,,,,2004
135,,,,10138590,-9.719799963,-61.51862664,34,,,,,2004
335,,,,10613916,-9.877005138,-61.51413506,37,,,,,2004
947,,,,10595097,-10.12853342,-61.53659294,37,,,,,2004
239,,,,10741467,-10.29023017,-61.52311821,37,,,,,2004
221,,,,15806838,-10.90557614,-61.50964348,37,,,,,2004
2429,,,,6852768,-8.897841478,-61.37040461,35,,,,,2004
3080,,,,7541100,-9.124666088,-61.37489619,34,,,,,2004
3080,,,,9500190,-9.376194367,-61.37489619,34,,,,,2004
2997,,,,10102680,-9.625476859,-61.37489619,34,,,,,2004
3080,,,,17958705,-9.87475935,-61.37489619,37,,,,,2004
3080,,,,18003906,-10.12628763,-61.37489619,37,,,,,2004
2888,,,,17777901,-10.37107854,-61.37040461,37,,,,,2004
2873,,,,18003906,-10.6270984,-61.36591304,37,,,,,2004
2871,,,,15436884,-10.86964353,-61.37489619,36,,,,,2004
2520,,,,6637536,-8.897841478,-61.1256137,35,,,,,2004
3136,,,,7480224,-9.124666088,-61.1256137,35,,,,,2004
3136,,,,10047276,-9.376194367,-61.1256137,34,,,,,2004
3080,,,,17871780,-9.625476859,-61.1256137,37,,,,,2004
3136,,,,18083877,-9.87475935,-61.1256137,37,,,,,2004
3136,,,,18049107,-10.12628763,-61.1256137,37,,,,,2004
3080,,,,18108216,-10.37557012,-61.1256137,37,,,,,2004
3136,,,,16152312,-10.62485261,-61.1256137,37,,,,,2004
2995,,,,15172347,-10.86964353,-61.12336791,36,,,,,2004
2520,,,,7471332,-8.897841478,-60.87408542,35,,,,,2004
3136,,,,9297612,-9.124666088,-60.87408542,35,,,,,2004
3136,,,,10381638,-9.376194367,-60.87408542,35,,,,,2004
3080,,,,10503093,-9.625476859,-60.87408542,35,,,,,2004
3136,,,,15862989,-9.87475935,-60.87408542,37,,,,,2004
3136,,,,15713661,-10.12628763,-60.87408542,37,,,,,2004
3080,,,,16018539,-10.37557012,-60.87408542,37,,,,,2004
3136,,,,15088350,-10.62485261,-60.87408542,36,,,,,2004
2968,,,,14519037,-10.86964353,-60.87408542,36,,,,,2004
2475,,,,5692800,-8.897841478,-60.62480293,35,,,,,2004
3080,,,,7983648,-9.124666088,-60.62480293,35,,,,,2004
3080,,,,7601856,-9.376194367,-60.62480293,32,,,,,2004
3025,,,,10059801,-9.625476859,-60.62480293,32,,,,,2004
3080,,,,18458634,-9.87475935,-60.62480293,32,,,,,2004
3080,,,,19134180,-10.12628763,-60.62480293,37,,,,,2004
720,,,,17798184,-11.04032343,-60.34632519,37,,,,,2004
2520,,,,4936250,-8.897841478,-60.37552044,35,,,,,2004
3136,,,,7156800,-9.124666088,-60.37552044,35,,,,,2004
3136,,,,7246400,-9.376194367,-60.37552044,35,,,,,2004
3080,,,,17994432,-9.625476859,-60.37552044,32,,,,,2004
3136,,,,18511470,-9.87475935,-60.37552044,37,,,,,2004
3136,,,,14072136,-10.12628763,-60.37552044,37,,,,,2004
3080,,,,17907630,-10.37557012,-60.37552044,32,,,,,2004
9241,,,,18179358,-10.56421633,-60.56192086,32,,,,,2004
6019,,,,17975562,-10.8741351,-60.49454721,32,,,,,2004
402,,,,13501740,-13.19178854,-60.27445997,48,,,,,2004
1607,,,,13987260,-13.39390948,-60.31488416,48,,,,,2004
3136,,,,14758380,-13.62522566,-60.37552044,37,,,,,2004
2554,,,,13989456,-13.86103342,-60.35530834,37,,,,,2004
2552,,,,15426900,-14.13501958,-60.35081677,37,,,,,2004
1345,,,,17662320,-11.05828974,-60.11725479,36,,,,,2004
2479,,,,6950400,-8.897841478,-60.12623795,35,,,,,2004
3136,,,,7164800,-9.124666088,-60.12399216,35,,,,,2004
3136,,,,7297600,-9.376194367,-60.12399216,35,,,,,2004
3080,,,,19832850,-9.625476859,-60.12399216,37,,,,,2004
3136,,,,19593900,-9.87475935,-60.12399216,37,,,,,2004
3136,,,,17852500,-10.12628763,-60.12399216,37,,,,,2004
3080,,,,13953810,-10.37557012,-60.12399216,37,,,,,2004
3136,,,,13281372,-10.62485261,-60.12399216,32,,,,,2004
3136,,,,17545326,-10.87638089,-60.12399216,32,,,,,2004
19,,,,17511360,-11.49397265,-60.00945696,36,,,,,2004
1252,,,,19122246,-11.64668625,-60.04988115,37,,,,,2004
691,,,,18376728,-11.81736615,-60.04538957,50,,,,,2004
402,,,,16592244,-12.68873198,-60.02742326,50,79.48478467,212.1347847,129.4847847,0.242409953,2004
1255,55.00817024,221.8581702,105.0081702,16647876,-12.9133108,-60.04988115,50,,,,0.242340898,2004
6153,,,,13901580,-13.25467061,-60.12174637,48,,,,,2004
3136,,,,15188160,-13.62522566,-60.12399216,48,,,,,2004
3080,,,,16059836,-13.87450815,-60.12399216,37,,,,,2004
3136,,,,15213400,-14.12379064,-60.12399216,37,,,,,2004
2420,,,,7008000,-8.900087267,-59.87470967,35,,,,,2004
3080,,,,6896000,-9.124666088,-59.87470967,35,,,,,2004
3080,,,,10242600,-9.376194367,-59.87470967,37,,,,,2004
3025,,,,18052300,-9.625476859,-59.87470967,37,,,,,2004
3080,,,,18285400,-9.87475935,-59.87470967,46,,,,,2004
3080,,,,9836000,-10.12628763,-59.87470967,38,,,,,2004
3025,,,,7459920,-10.37557012,-59.87470967,38,,,,,2004
3080,,,,20382354,-10.62485261,-59.87470967,37,,,,,2004
3080,,,,19361997,-10.87638089,-59.87470967,37,,,,,2004
2914,,,,13582404,-11.12117181,-59.87021809,37,,,,,2004
2473,,,,7420424,-11.38168324,-59.85225178,36,,,,,2004
3080,,,,20391228,-11.62647415,-59.87470967,50,,,,,2004
