system:index,Muni_code_median,Muni_code_sum,count,double_area_km2_median,double_area_km2_sum,double_delay_median,double_delay_sum,double_harvest_median,double_harvest_sum,double_plant_median,double_plant_sum,label,latitude_median,latitude_sum,longitude_median,longitude_sum,onset_historicalRange_median,onset_historicalRange_sum,onset_median,onset_sum,single_area_km2_median,single_area_km2_sum,single_delay_median,single_delay_sum,single_harvest_median,single_harvest_sum,single_plant_median,single_plant_sum,total_planted_area_km2_median,total_planted_area_km2_sum,year_median,year_sum
0_+2830+3450,5103254,1.28E+08,25,,0,,0,,0,,0,5764500,-9.248184439,-231.1327458,-61.56803398,-1539.169408,43,1075,34,850,,0,,0,,0,,0,,0,2004,50100
0_+2838+3367,5103254,5.77E+08,113,,0,,0,,0,,0,7717572,-8.812501526,-996.7424288,-61.51413506,-6951.941678,42,4746,35,3955,,0,,0,,0,,0,,0,2004,226452
0_+2838+3394,5103254,1.28E+08,25,,0,,0,,0,,0,7717572,-8.98318143,-224.5885189,-61.50515191,-1537.646764,42,1050,35,875,,0,,0,,0,,0,,0,2004,50100
0_+2838+3450,5103254,2.43E+09,476,,0,,0,,0,,0,5764500,-9.113437147,-4340.210429,-61.51862664,-29283.3873,43,20468,34,16184,,0,,0,,0,,0,,0,2004,953904
0_+2838+3506,5103254,5.77E+09,1130,,0,,0,,0,,0,9883230,-9.342507544,-10572.30488,-61.54557609,-69550.36823,38,42940,34,38420,,0,,0,,0,,0,,0,2004,2264520
0_+2838+3522,5103254,4.13E+08,81,,0,,0,,0,,0,10138590,-9.522170601,-771.6147206,-61.50964348,-4982.725788,38,3078,34,2754,,0,,0,,0,,0,,0,2004,162324
0_+2838+3532,5103254,1.53E+07,3,,0,,0,,0,,0,10138590,-9.612002129,-28.83600639,-61.50066033,-184.501981,38,114,34,102,,0,,0,,0,,0,,0,2004,6012
0_+2838+3561,5103254,6.89E+08,135,,0,,0,,0,,0,10138590,-9.719799963,-1312.177487,-61.51862664,-8305.791639,38,5130,34,4590,,0,,0,,0,,0,,0,2004,270540
0_+2838+3617,5103254,1.71E+09,335,,0,,0,,0,,0,10613916,-9.877005138,-3307.363908,-61.51413506,-20607.18584,35,11725,37,12395,,0,,0,,0,,0,,0,2004,671340
0_+2838+3673,5107578,4.84E+09,947,,0,,0,,0,,0,10595097,-10.12853342,-9593.746848,-61.53659294,-58276.70311,35,33145,37,35039,,0,,0,,0,,0,,0,2004,1897788
0_+2838+3702,5107578,1.22E+09,239,,0,,0,,0,,0,10741467,-10.29023017,-2460.10612,-61.52311821,-14704.43848,35,8365,37,8843,,0,,0,,0,,0,,0,2004,478956
0_+2838+3837,5107578,1.13E+09,221,,0,,0,,0,,0,15806838,-10.90557614,-2410.082919,-61.50964348,-13594.02647,30,6630,37,8177,,0,,0,,0,,0,,0,2004,442884
