system:index,Muni_code,double_delay,double_harvest,double_plant,latitude,longitude,muni_area_km2,onset,single_delay,single_harvest,single_plant,year,.geo
1_0,NA,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,
2_0_00005aff5522742dc03f,5106265,31.39319164,194.3931916,80.39319164,-9.495221142,-55.04626501,5815.080394,49,40.66091175,203.7612153,89.66091175,2004,
2_0_0000f5028d3da3fc2087,5105606,21.55329339,184.5532934,70.55329339,-9.629968435,-53.80881207,5260.6138,53,70.66910968,225.1191097,119.6691097,2004,
2_0_0000dc2d69eb619ae00f,5105580,35.18214124,198.1821412,84.18214124,-10.55972475,-53.36416509,12330.14829,56,45.91839123,227.1683912,98.91839123,2004,
2_0_00004234272352c5d97d,5107354,,,,-10.3800617,-52.2300466,7489.749363,58,97.48694673,260.4869467,146.4869467,2004,
2_0_0000137f8185e9645862,5107859,74.54930806,234.9993081,129.5493081,-11.06507296,-50.85119156,16781.53295,60,82.91516116,255.4840507,142.9151612,2004,
2_0_0000c9cd78e3dc7229b5,5106190,65.40836042,227.7635173,114.4083604,-10.64506471,-54.66897259,2368.957071,53,65.40935878,242.6593588,114.4093588,2004,
2_0_0000e355c6d9aabfc531,5108055,31.99663356,194.9966336,80.99663356,-10.32616278,-54.71388836,2573.023626,53,,,,2004,
2_0_0000c783ea68e049a389,5104559,63.71366387,228.3650837,107.6853022,-10.95498348,-55.04404492,4549.253985,50,73.86401198,228.314012,122.864012,2004,
2_0_00006a1dc3eec8d9b903,5103056,72.03543145,222.4854315,117.0354315,-11.22896964,-54.74532939,3866.018161,50,85.52573828,241.291919,130.8257682,2004,
2_0_000091b0220c7f13a109,5107909,62.16525618,218.6107775,107.1652562,-11.38168324,-55.21694492,3957.450188,45,83.12265586,238.2857381,128.1226559,2004,
2_0_00001c54c272496761e1,5107248,68.86673958,223.4369558,113.8667396,-11.72753462,-54.47359771,3870.366973,45,86.7620636,235.818164,131.7620636,2004,
2_0_0000212db09c736a9e89,5108303,43.52621245,202.5262124,88.52621245,-11.28736013,-53.89642145,4600.237578,53,71.48314264,221.9331426,116.4831426,2004,
2_0_0000ca93741c12e7e196,5103700,78.15975355,238.6097535,133.1597535,-11.18405388,-53.41353428,11507.3391,56,84.89339953,244.3217006,129.8933995,2004,
2_0_000019f0640d85df838c,5106240,72.36896157,233.4543393,128.3566898,-12.30029252,-54.16824044,12754.7676,56,84.5988905,253.5167997,139.5066579,2004,
2_0_00003435e1fc974d5667,5108501,65.1335867,219.6649076,110.8629043,-12.17220069,-55.13609654,2973.7934,56,96.5733275,249.6350713,144.2964723,2004,
2_0_0000c701db318caaec1e,5107925,61.54550508,222.2466581,112.2770637,-11.96339257,-55.26858402,9367.02827,56,80.34496476,236.2577467,127.364159,2004,
2_0_0000ea6b0f20abd21433,5107768,59.36617796,222.3267479,114.7893432,-13.41636736,-54.97439979,4749.942567,56,82.40634589,246.2758373,137.4063459,2004,
2_0_00001e852d0dd44144a7,5106307,69.46884935,229.9188494,124.4688494,-12.36761066,-53.48992745,24256.23226,55,95.58779255,257.5945066,150.5877926,2004,
2_0_0000ef331a3022791b58,5103858,70.10989588,218.8062296,125.1098959,-12.26881999,-52.99586599,16994.20033,62,82.93640897,251.8911859,137.936409,2004,
2_0_0000e0b247e362c9b125,5102702,63.72622329,234.6311444,125.1386493,-12.76958035,-51.63043022,10923.81367,62,79.73524052,247.2813323,140.9487056,2004,
2_0_0000cf70af7797718866,5107065,68.37195004,247.6675235,128.37195,-11.53892372,-52.16943151,17853.17773,62,79.69605899,253.6057835,140.2662525,2004,
2_0_000015e17b8b0f516065,5102694,,,,-10.99540767,-51.53834383,3466.503525,59,88.54364188,238.7436419,147.5436419,2004,
2_0_000019667622f6247e03,5106778,,,,-10.60464052,-51.16778334,3988.122068,56,70.08948432,240.0894843,126.0894843,2004,
2_0_000059bee336417acb78,5100359,,,,-11.67363571,-51.36766393,2249.210563,60,53.27403409,218.7240341,113.2740341,2004,
2_0_00000270ecad8c7396c6,5101852,,,,-11.95660502,-51.3879615,4290.761587,60,87.60173722,249.1070586,147.6017372,2004,
2_0_0000599325b905cc7a0c,5107180,,,,-12.46646525,-51.07345433,11398.41663,61,77.29376012,253.8863236,137.2937601,2004,
2_0_0000914ff30a7448a9f0,5108600,,,,-9.77369888,-50.73884323,7462.662941,56,71.8780772,233.3280772,127.8780772,2004,
2_0_0000284fcb045e32cc09,5213103,71.97948838,239.6042714,133.6691557,-17.01189583,-52.33113268,8918.677057,65,70.20781681,242.4323212,129.189877,2004,
2_0_0000c8f885d15a62afca,5107198,75.39710428,254.3971043,140.3971043,-16.35385834,-52.64327163,627.6958356,65,86.29476286,263.8330633,143.8588472,2004,
2_0_0000d614b707521f8862,5108204,,,,-16.10233006,-52.58488114,2407.475885,81,107.5104724,268.5866617,162.5104724,2004,
2_0_0000a55469c19114aecb,5101803,55.69799622,264.7116312,136.6979962,-14.94131308,-52.08856337,9112.684625,81,74.66766038,250.3961388,139.6676604,2004,
2_0_0000345cf55fda086442,5106174,57.45925527,227.9092553,122.4592553,-13.70606469,-51.61470063,4051.919359,66,92.46988926,258.9198893,153.4698893,2004,
2_0_00007f48dd4b4caa1456,5100201,85.74673682,256.1967368,150.7467368,-13.6948451,-52.01222801,7538.979584,66,73.40634127,255.1346887,138.4063413,2004,
2_0_0000dcf1e0a383eb6653,5106257,104.1388333,263.5113089,169.1388333,-14.25180057,-51.83252386,5564.129906,66,93.20264758,264.3181162,158.2026476,2004,
2_0_0000c2e06bcf0cbd8141,5102603,,,,-13.85429459,-52.82293469,5988.885858,65,80.42523022,248.3185017,145.4252302,2004,
2_0_00002b1c631d7df522ac,5106281,101.2714245,270.9442985,156.2714245,-14.8177392,-52.78478164,5052.617025,81,87.67978119,255.7915102,144.8551584,2004,
2_0_00002a12eb64652d6054,5103908,89.52551076,252.3860951,144.5255108,-15.38816941,-52.8004768,3807.41337,81,87.31102796,254.265243,142.311028,2004,
2_0_0000a018b45735917b0b,5108105,82.44920588,238.0249774,137.4492059,-15.65317242,-53.12387031,4202.709936,65,91.79160543,257.548536,152.8536018,2004,
2_0_0000743392f358eccf24,5107008,108.6530927,254.7541967,163.6530927,-15.3724702,-53.86048884,6923.361049,55,111.5412491,267.5190462,166.5412491,2004,
2_0_000098e15ac276eba6e3,5107040,84.9318517,242.7017342,139.9318517,-14.67621686,-53.95930352,5500.578559,55,89.63001962,247.695606,144.6300196,2004,
2_0_0000bdb8fec2bec935ec,5107792,103.3592677,258.2304029,159.5507063,-14.54375304,-53.38887331,3613.549184,80,85.34853599,249.621473,140.6697267,2004,
2_0_0000d9cc9ac264951505,5106455,,,,-14.37756471,-54.40846116,2464.97329,55,69.33670119,229.7867012,124.3367012,2004,
2_0_00000299a420bcda4d53,5106208,,,,-14.55722777,-54.63530051,3274.985713,55,87.93222393,248.3822239,142.9322239,2004,
2_0_000048f95e9d96881972,5107701,52.7093702,216.1593702,110.7093702,-14.30120791,-55.00806499,7543.432493,79,71.05287081,231.5028708,126.0528708,2004,
2_0_0000a943d8e067a6b312,5106224,55.84327952,220.3586962,111.1601465,-13.07275537,-55.62795587,9579.93819,58,79.8312253,240.2534347,132.8362757,2004,
2_0_0000f9c4c9a4c7914235,5105903,55.32311822,218.7731182,113.3231182,-14.09908697,-55.39436418,3918.843258,58,95.19861543,258.6486154,153.1986154,2004,
2_0_000003d8fa3e919cc214,5103007,41.97677917,209.1746293,96.97677917,-14.80875605,-55.16753758,6511.484888,56,88.1967247,245.9861753,140.7134402,2004,
