system:index,Muni_code,count,double_area_km2,double_delay,double_harvest,double_plant,label,latitude,longitude,onset,onset_historicalRange,single_area_km2,single_delay,single_harvest,single_plant,total_planted_area_km2,year
0_+2830+3450,5103254,25,,,,,5764500,-9.239201286,-61.54108452,34,43,,,,,,2004
0_+2838+3367,5103254,113,,,,,7717572,-8.799026797,-61.50066033,35,42,,,,,,2004
0_+2838+3394,5103254,25,,,,,7717572,-8.965215125,-61.50066033,35,42,,,,,,2004
0_+2838+3450,5103254,476,,,,,5764500,-9.019114042,-61.50066033,34,43,,,,,,2004
0_+2838+3506,5103254,1130,,,,,9883230,-9.261659169,-61.50515191,34,38,,,,,,2004
0_+2838+3522,5103254,81,,,,,10138590,-9.504204295,-61.50066033,34,38,,,,,,2004
0_+2838+3532,5103254,3,,,,,10138590,-9.607510553,-61.50066033,34,38,,,,,,2004
0_+2838+3561,5103254,135,,,,,10138590,-9.683867352,-61.50066033,34,38,,,,,,2004
0_+2838+3617,5103254,335,,,,,10613916,-9.760224151,-61.50066033,37,35,,,,,,2004
0_+2838+3673,5107578,947,,,,,10595097,-10.02073558,-61.50066033,37,35,,,,,,2004
0_+2838+3702,5107578,239,,,,,10741467,-10.25429756,-61.50066033,37,35,,,,,,2004
0_+2838+3837,5107578,221,,,,,15806838,-10.81125303,-61.50066033,37,30,,,,,,2004
0_+2893+3394,5103254,2429,,,,,6852768,-8.80800995,-61.26260678,35,42,,,,,,2004
0_+2893+3450,5103254,3080,,,,,7541100,-9.010130889,-61.26260678,34,43,,,,,,2004
0_+2893+3506,5103254,3080,,,,,9500190,-9.261659169,-61.26260678,34,38,,,,,,2004
0_+2893+3561,5103254,2997,,,,,10102680,-9.513187448,-61.26260678,34,38,,,,,,2004
0_+2893+3617,5103254,3080,,,,,17958705,-9.760224151,-61.26260678,37,35,,,,,,2004
0_+2893+3673,5107578,3080,,,,,18003906,-10.01175243,-61.26260678,37,37,,,,,,2004
0_+2893+3728,5107578,2888,,,,,17777901,-10.26328071,-61.26260678,37,34,,,,,,2004
0_+2893+3784,5107578,2873,,,,,18003906,-10.51031741,-61.26260678,37,34,,,,,,2004
0_+2893+3837,5107578,2871,,,,,15436884,-10.76184569,-61.26260678,36,31,,,,,,2004
0_+2949+3394,5103254,2520,,,,,6637536,-8.80800995,-61.0110785,35,44,,,,,,2004
0_+2949+3450,5103254,3136,,,,,7480224,-9.010130889,-61.0110785,35,38,,,,,,2004
0_+2949+3506,5103254,3136,,,,,10047276,-9.261659169,-61.0110785,34,38,,,,,,2004
0_+2949+3561,5103254,3080,,,,,17871780,-9.513187448,-61.0110785,37,35,,,,,,2004
0_+2949+3617,5107578,3136,,,,,18083877,-9.760224151,-61.0110785,37,35,,,,,,2004
0_+2949+3673,5107578,3136,,,,,18049107,-10.01175243,-61.0110785,37,34,,,,,,2004
0_+2949+3728,5107578,3080,,,,,18108216,-10.26328071,-61.0110785,37,34,,,,,,2004
0_+2949+3784,5107578,3136,,,,,16152312,-10.51031741,-61.0110785,37,34,,,,,,2004
0_+2949+3838,5107578,2995,,,,,15172347,-10.76184569,-61.0110785,36,31,,,,,,2004
0_+3005+3394,5103254,2520,,,,,7471332,-8.80800995,-60.75955022,35,51,,,,,,2004
0_+3005+3450,5103254,3136,,,,,9297612,-9.010130889,-60.75955022,35,37,,,,,,2004
0_+3005+3506,5103254,3136,,,,,10381638,-9.261659169,-60.75955022,35,37,,,,,,2004
0_+3005+3561,5103254,3080,,,,,10503093,-9.513187448,-60.75955022,35,37,,,,,,2004
0_+3005+3617,5107578,3136,,,,,15862989,-9.760224151,-60.75955022,37,37,,,,,,2004
0_+3005+3673,5107578,3136,,,,,15713661,-10.01175243,-60.75955022,37,33,,,,,,2004
0_+3005+3728,5107578,3080,,,,,16018539,-10.26328071,-60.75955022,37,33,,,,,,2004
0_+3005+3784,5107578,3136,,,,,15088350,-10.51031741,-60.75955022,36,31,,,,,,2004
0_+3005+3837,5107578,2968,,,,,14519037,-10.76184569,-60.75955022,36,31,,,,,,2004
0_+3060+3394,5103254,2475,,,,,5692800,-8.80800995,-60.51251352,35,45,,,,,,2004
0_+3060+3450,5103254,3080,,,,,7983648,-9.010130889,-60.51251352,35,32,,,,,,2004
0_+3060+3506,5103254,3080,,,,,7601856,-9.261659169,-60.51251352,32,37,,,,,,2004
0_+3060+3561,5107578,3025,,,,,10059801,-9.513187448,-60.51251352,32,37,,,,,,2004
0_+3060+3617,5107578,3080,,,,,18458634,-9.760224151,-60.51251352,32,50,,,,,,2004
0_+3060+3673,5107578,3080,,,,,19134180,-10.01175243,-60.51251352,37,45,,,,,,2004
0_+3095+3864,5105150,720,,,,,17798184,-11.00439082,-60.25649366,37,30,,,,,,2004
0_+3116+3394,5103254,2520,,,,,4936250,-8.80800995,-60.26098524,35,49,,,,,,2004
0_+3116+3450,5103254,3136,,,,,7156800,-9.010130889,-60.26098524,35,32,,,,,,2004
0_+3116+3506,5103254,3136,,,,,7246400,-9.261659169,-60.26098524,35,34,,,,,,2004
0_+3116+3561,5101407,3080,,,,,17994432,-9.513187448,-60.26098524,32,37,,,,,,2004
0_+3116+3617,5101407,3136,,,,,18511470,-9.760224151,-60.26098524,37,32,,,,,,2004
0_+3116+3673,5101407,3136,,,,,14072136,-10.01175243,-60.26098524,37,32,,,,,,2004
0_+3116+3728,5101407,3080,,,,,17907630,-10.26328071,-60.26098524,32,35,,,,,,2004
0_+3116+3784,5107578,9241,,,,,18179358,-10.29023017,-60.2879347,32,50,,,,,,2004
0_+3116+3840,5107578,6019,,,,,17975562,-10.76184569,-60.27445997,32,44,,,,,,2004
0_+3116+4340,5103304,402,,,,,13501740,-13.0839907,-60.25200209,48,22,,,,,,2004
0_+3116+4396,5103304,1607,,,,,13987260,-13.26814534,-60.25649366,48,22,,,,,,2004
0_+3116+4452,5103304,3136,,,,,14758380,-13.51069046,-60.26098524,37,34,,,,,,2004
0_+3116+4507,5103304,2554,,,,,13989456,-13.76221874,-60.26098524,37,38,,,,,,2004
0_+3116+4563,5106182,2552,,,,,15426900,-14.01374702,-60.26098524,37,38,,,,,,2004
0_+3167+3869,5105150,1345,,,,,17662320,-11.0088824,-60.00945696,36,28,,,,,,2004
0_+3172+3394,5103254,2479,,,,,6950400,-8.80800995,-60.00945696,35,28,,,,,,2004
0_+3172+3450,5103254,3136,,,,,7164800,-9.010130889,-60.00945696,35,32,,,,,,2004
0_+3172+3506,5103254,3136,,,,,7297600,-9.261659169,-60.00945696,35,34,,,,,,2004
0_+3172+3561,5101407,3080,,,,,19832850,-9.513187448,-60.00945696,37,32,,,,,,2004
0_+3172+3617,5101407,3136,,,,,19593900,-9.760224151,-60.00945696,37,32,,,,,,2004
0_+3172+3673,5101407,3136,,,,,17852500,-10.01175243,-60.00945696,37,32,,,,,,2004
0_+3172+3728,5101407,3080,,,,,13953810,-10.26328071,-60.00945696,37,32,,,,,,2004
0_+3172+3784,5101407,3136,,,,,13281372,-10.51031741,-60.00945696,32,37,,,,,,2004
0_+3172+3840,5105150,3136,,,,,17545326,-10.76184569,-60.00945696,32,32,,,,,,2004
0_+3172+3951,5105150,19,,,,,17511360,-11.48049792,-60.00047381,36,28,,,,,,2004
0_+3172+4007,5105150,1252,,,,,19122246,-11.52990526,-60.00496538,37,39,,,,,,2004
0_+3172+4040,5105150,691,,,,,18376728,-11.75897566,-60.00496538,50,26,,,,,,2004
0_+3172+4229,5103304,402,,,,,16592244,-12.62135833,-60.00047381,50,24,0.242409953,79.48478467,212.1347847,129.4847847,0.242409953,2004
0_+3172+4285,5103304,1255,0.242343,56.29002005,231.9763204,106.2900201,16647876,-12.76958035,-60.00496538,50,23,,,,,0.242343,2004
0_+3172+4396,5103304,6153,,,,,13901580,-13.03009179,-60.00945696,48,22,,,,,,2004
0_+3172+4452,5103304,3136,,,,,15188160,-13.51069046,-60.00945696,48,32,,,,,,2004
0_+3172+4507,5103304,3080,,,,,16059836,-13.76221874,-60.00945696,37,35,,,,,,2004
0_+3172+4563,5106182,3136,,,,,15213400,-14.00925545,-60.00945696,37,38,,,,,,2004
0_+3227+3394,5103254,2420,,,,,7008000,-8.812501526,-59.76242026,35,37,,,,,,2004
0_+3227+3450,5103254,3080,,,,,6896000,-9.010130889,-59.76242026,35,32,,,,,,2004
0_+3227+3506,5103254,3080,,,,,10242600,-9.261659169,-59.76242026,37,32,,,,,,2004
0_+3227+3561,5103254,3025,,,,,18052300,-9.513187448,-59.76242026,37,30,,,,,,2004
0_+3227+3617,5101407,3080,,,,,18285400,-9.760224151,-59.76242026,46,29,,,,,,2004
0_+3227+3673,5101407,3080,,,,,9836000,-10.01175243,-59.76242026,38,29,,,,,,2004
0_+3227+3728,5101407,3025,,,,,7459920,-10.26328071,-59.76242026,38,31,,,,,,2004
0_+3227+3784,5101407,3080,,,,,20382354,-10.51031741,-59.76242026,37,39,,,,,,2004
0_+3227+3840,5105150,3080,,,,,19361997,-10.76184569,-59.76242026,37,30,,,,,,2004
0_+3227+3895,5105150,2914,,,,,13582404,-11.01337397,-59.76242026,37,26,,,,,,2004
0_+3227+3951,5105150,2473,,,,,7420424,-11.26041068,-59.76242026,36,27,,,,,,2004
0_+3227+4007,5105150,3080,,,,,20391228,-11.51193896,-59.76242026,50,22,,,,,,2004
0_+3227+4062,5105150,2945,,,,,10517628,-11.76346723,-59.76242026,50,38,,,,,,2004
0_+3227+4118,5105150,2136,,,,,11482900,-12.01050394,-59.75792868,50,24,,,,,,2004
0_+3227+4173,5105150,976,,,,,16016770,-12.25754064,-59.7534371,50,26,,,,,,2004
0_+3227+4229,5103304,2645,,,,,13714920,-12.51805207,-59.76242026,50,23,,,,,,2004
0_+3227+4285,5103304,3080,,,,,13861800,-12.7605972,-59.76242026,50,22,,,,,,2004
0_+3227+4340,5103304,3025,,,,,13947480,-13.01212548,-59.76242026,50,22,,,,,,2004
0_+3227+4396,5103304,3080,,,,,14204520,-13.25916218,-59.76242026,50,22,0.241798375,77.19709673,240.7440682,127.1970967,0.241798375,2004
0_+3227+4452,5103304,3080,,,,,15284880,-13.51069046,-59.76242026,50,31,0.241617531,47.21141999,225.46142,97.21141999,0.241617531,2004
0_+3227+4507,5103304,3025,,,,,15393350,-13.76221874,-59.76242026,50,32,,,,,,2004
0_+3227+4563,5106182,3080,,,,,16070450,-14.00925545,-59.76242026,50,31,,,,,,2004
0_+3227+4619,5106182,3080,,,,,16169600,-14.26078372,-59.76242026,37,45,,,,,,2004
0_+3227+4674,5106182,3025,,,,,16994600,-14.512312,-59.76242026,37,55,,,,,,2004
0_+3227+4730,5105507,3080,,,,,13952750,-14.75934871,-59.76242026,37,55,,,,,,2004
0_+3227+4786,5105507,3080,,,,,14283500,-15.01087699,-59.76242026,37,59,,,,,,2004
0_+3227+4841,5105507,3025,,,,,15152711,-15.26240527,-59.76242026,81,47,,,,,,2004
0_+3227+4897,5106752,3080,,,,,15258600,-15.50944197,-59.76242026,81,44,,,,,,2004
0_+3227+4953,5106752,3080,,,,,19099100,-15.76097025,-59.76242026,81,43,,,,,,2004
0_+3283+3394,5103254,2464,,,,,6721600,-8.812501526,-59.51089198,36,32,,,,,,2004
